from_id	comment_id	text	from_expression	city	age	country	sex
173973769	367114	"Я была с попутчицей летом 2016 у такого человека! Он живёт один на острове, но очень рад, когда к нему приезжают гости. В 2009 году режисёры из Германии, Финляндии и Польши сняли документальный фильм ""Робинзоны острова"". А вот мой рассказ:  Мантсинсаари — самый крупный по площади остров на Ладожском озере.  Земляничная поляна - так переводится название с финского, ведь до 1944 года остров принадлежал Финляндии. Раньше на острове было 3 села, 4 школы, 2 больницы, 2 клуба, совхоз, маслозавод, 2 православные церкви и лютеранская кирха. Кроме того, существовала паромная переправа и с материка ходили регулярные рейсы.  Теперь на острове остались лишь руины разрушенных зданий, да заброшенное кладбище.  Благодаря особому микроклимату весь остров заселен полями дикой черники, земляники, малины и морошки, а также тут растет много грибов.  Но насладиться этими дарами природы некому, ведь на острове живет всего лишь 1 человек!  Алексей Иванович Клюня по национальности беларус, в прошлом - егерь, а сейчас - хранитель острова. Алексей Иванович приехал на остров в возрасте 14 лет, сначала работал в совхозе, потом на переправе. После того, как все жители разъехались и остров опустел, он работал егерем, пока не ушел на пенсию. Сейчас ему 79 лет и он занимается домашним хозяйством. Мы проехали с Олонца до острова Лункулансаари приблизительно 100 км и договорились с местными, чтобы нас переправили на Мантсинсаари. Оказавшись на острове мы прошли около 5 км в лес и очутились у единственного жилого дома! Алексей Иванович встретил нас очень радушно: пригласил к себе, заварил на печке чаек и сразу же повел нас на экскурсию по острову и попутно за грибами. Мы обошли большую часть острова, а вечером пожарили лисички с домашней картошечкой и лучком, которые он бережно выращивает на заднем дворе. Остальную часть вечера мы провели за просмотром фотографий и веселой болтовней. На следующий день мы вернулись обратно на материк."	из Америки	Владивосток	None	Россия	1
16676230	7683280	"На самом деле от нас извинений Германия особо то и не ждет) Пади от тех роковых слов сами немцы и охуели слегка. У них там формальный комплекс вины и все такое, а тут приходит чувак из России и говорит: ""Жаль немцев, погибли ни за что"""	из Англии	Владивосток	None	Россия	2
154162122	17204054	Бля , недавно из Казани вернулся	из Англии	Волгоград	None	Россия	2
219873669	2027173	Из России 😍 Мы верим в победу $#1041644;$#1041644;$#1041644;    Голос отдала  за Украину :)	из Англии	Волгоград	17	Россия	1
357320042	1810599	а кто скозал что я из России?	из Англии	Волгоград	23	Россия	2
3090582	7521528	Он представлял, что убегает из России	из Армении	Волгоград	32	Россия	2
143660282	2274600	[id16936263|Кирилл], не штамповки, слушать приятно, особенно паренька из Португалии, приятные ассоциации при прослушивании возникают.	из Армении	Волгоград	21	Россия	1
377768403	17712689	Из китая в Россию то они ускорят. Но кто ускорит почту России	из Армении	Волгоград	None	Россия	2
160411382	2051068	смешались вместе кони,люди...не пойму,к чему так жопу рвать и дерьмом кидаться.не выиграем-да зашибись,из бюджета деньги не пойдут на эти понты.спасибо шоу за качественные песни на это лето.а там хоть кореянка из Австралии,хоть киргизка из Украины,по-барабану.а вот в хоккее надо выиграть!)	ИЗ АРМЕНИИ	Воронеж	26	Россия	1
301183892	1997167	Чем то похож на исполнителя из Беларуси👎👎	из Армении	Воронеж	23	Россия	1
31935889	1866184	На какой номер отправлять СМС из России? Скажите, пожалуйста😊	из Армении	Воронеж	21	Россия	2
42175102	1888676	Парень из Венгрии симпотяга, думаю может выстрелить	из Башкирии	Воскресенск	None	Россия	1
154236683	7558949	[id254151806|Юрий], лол, это ядерное оружие в Ираке в итоге и не нашли. Зашли, убили Саддама Хусейна, поставили кого выгодно и съебались, плюс поубивали дохера людей. Нормально порядок навели, наверное мусульмане теперь должны любить их, да?   Причем тут «заматывают по пятки»? И что? Что такое цивилизация по-твоему? Люди издревле так жили и ты хочешь приехать из Украины или России и рассказать им как жить по-другому, поправильнее? Я отлично отношусь к хиджабу, если у меня и будет жена, и она куда-то выйдет, я не хочу чтобы кто-то смотрел на нее с мыслями о ебле с ней, это мое личное дело, и то как одеваются чьи-то жены тебя ебать не должно.	из Беларуси	Грозный	21	Россия	2
238105329	2366905	[id205748850|Наталия], кому ты что доказываешь ? Этот бот под фейком из украины ) . Не трать время ) .	из Беларуси	Грозный	26	Россия	2
182405318	2040071	Лазарев - лучший участник из России. Девушкам до него всегда не хватало уверенности на сцене, а у него всё было идеально. И вообще выступление продуманное и интересное. Заслуживает 1 место.	из Беларуси	Долгопрудный	23	Россия	1
151828568	2673792	Бэд из Башкирии сам - ему может зайдёт =) А Уфа вообще один из самых красивых городов.	из Беларуси	Екатеринбург	None	Россия	2
145039322	1749608	[id255175332|Bulat], у него тоже был риск))) или пан или пропал))) в 2002 слили трансов из Словении, 2007 из Дании, а из Украины 2007 и Израиля 1998 оценили	из Беларуси	Екатеринбург	34	Россия	2
202141599	2366398	Не понимаю, почему пацан из Болгарии разревелся. Одно дело, если бы он, как Гагарина, долгоe время лидировал, а потом под конец португалец его обогнал с огромным отрывом, это да, было бы обидно, а тут Крис даже на первом месте не стоял, Сальвадор сразу понесся вверх. Всем стало ясно, что Болгария на втором месте будет. А у Португалии найс песня, искренняя и без пафоса. Достойна победы, я считаю.	из Беларуси	Екатеринбург	None	Россия	1
424524987	18041359	[id326696846|Purple], я долго думать не буду,и мамку трогать не стану.ты хуже уебана из узбекистана,ты хлам ебаный...пидерсия ссаная.ты из какого стога выпал?из какого клана?..я тебЯ доведу до разрыва твоего пукана...а...да...и я ебал твою маму	из Беларуси	Екатеринбург	27	Россия	2
90925847	7514175	[id19896369|Виталик], из Екатеринбурга., за такую работу немного ещё 15к только насос стоил, демонтаж двух полов, установка всей сантехники, разводка, счетчики	из Белоруси	Екатеринбург	None	Россия	1
21346369	1599377	все куплено в лидерах должна была быть как минимум дама из грузиии	из Белоруссии	Екатеринбург	None	Россия	1
52798496	1512445	На какой номер слать смс-ки из России?	из Белоруссии	Екатеринбург	23	Россия	2
319484969	1950013	[id289360349|Михаил], это чувак из Нидерландов	из Белоруссии	Екатеринбург	None	Россия	1
22641767	1502913	А прикольная история у парня из Молдовы.	из Бельгии	Ессентуки	27	Россия	1
5150373	7489168	Как несколько знакомый с темой, отвечаю: проверяющие инстанции имеют норму, по которой им нужно найти какое-то количество косяков. И если косяков нет, то их надо изобретать. Все эти нормы, естественно, идут сверху - из Москвы. Кто-то сопротивляется, а кто-то исполняет.	из Бельгии	Железногорск	30	Россия	2
58933839	2744160	[id18994|Дмитрий], по какому нахер закону? Чувак, менты поехали из МОСКВЫ в КЕМЕРОВО делать обыски по статье КЛЕВЕТА. Вопросов не возникает никаких? О том, кто и почему командировал сотрудников полиции из мск, в Кемерово нет своего РУВД или как? С какой стати делать обыски по данной статье, и трогать тем более родственников и свидетелей по этому делу. Это законно?	из Бельгии	Железнодорожный (Балашиха)	None	Россия	2
20266601	1883779	"Греция исполнила что-то невнятное, смесь хип-хопа и этники. Молдавия запомнилась пока что ужасным платьем исполнительницы и космонавтом(напоминает тему фильма ""Звездная пыль"") . Отличная песня участника из Венгрии- ""Пионер Фредди"", так сказать, качает. Хорватия - песня средняя, номера нет, платье как наряд чукчи(номеру Хорватии 2008 года даже в подмётки не годится):)))Дауэ Боб из Нидерландов-легкая песня в стиле кантри, ничего особенного, но девчонкам может понравиться:))) Армению представила Иветта- мощное исполнение эффектной армянской женщины, практически отсутствие наряда скорее в плюс, чем в минус:), Россия проголосует в любом случае за Вас:) Сан Марино представил метросексуал в фиолетовом(или типо того) костюме и исполнил песню в стиле диско-80, хммм, даже не знаю как это прокомментировать:))) Сергей Лазарев-он не упал, это уже большой плюс..ахахах. номер отличный, захватывает дух, подтанцовка как будто сходит с экрана, видеоряд великолепный, песня, по сравнению с др.участниками, выглядит выигрышно...можно первый полуфинал заканчивать:)))) Кипр-оказывается там есть рок:))) ZOË из Австрии -милый голосок:) Эстония-неплохо-неплохо, пару раз послушать можно. Азербайджан даже очень неплохо , баба-огонь:))) Черногория, время Лорди уже прошло! Босния и Герцоговина -поют на родном языке, это плюс, единственный плюс, позитива нет никакого, а хочется же праздника. Итог: лучшими для меня были Россия и Венгрия, но и Австрия может удивить:)))"	из Бельгии	Ижевск	30	Россия	2
19024936	1983926	За Австрию кто-нибудь будет голосовать? Из России?	из Болгарии	Ижевск	None	Россия	2
201092482	1823165	дайте уже репетицию овечки из испании, посмотрю че она там наблеела	из Болгарии	Ижевск	None	Россия	1
71214688	2513868	[id3664185|Евгений], летом переезжаю из Беларуси в Иркутск, я не переживу, если в Иркутск не заглянешь, раз в Минск уже не выйдет попасть D: Нас в Иркутске много желающих!	из Болгарии	Иркутск	None	Россия	1
179551511	1567598	Почему мне кажется, что эта девушка немного похожа на девушку из Эстонии 😅	из Болгарии	Иркутск	None	Россия	1
172544018	1897682	[id94980326|Евгения], участник из Нидерландов ,Дауэ Боб)	из Болгарии	Иркутск	None	Россия	1
356333358	2047652	НАРОД! Я ОДНА НЕ ПОНИМАЮ ЧТО ПРОИСХОДИТ!? + народ из россии за австралию все отдали....молодцы	из Болгарии	Йошкар-Ола	None	Россия	1
139428327	7493879	О, вы из Англии? Бот, не трогай плез	из Венгрии	Йошкар-Ола	None	Россия	2
75079424	2673803	[id60681085|Никита], идея. Парень Алтай с Алтая. Питер из Питера)	из Венгрии	Йошкар-Ола	None	Россия	2
95800915	1543231	Парни из Италии геи?! 😳	из Венгрии	Казань	20	Россия	1
248368179	17193908	Я из Казани	из Венгрии	Казань	17	Россия	2
85489463	18272798	Пишет из Австралии в ВК по русски. Еееееееее сука так держать	из Венгрии	Казань	23	Россия	2
62046244	7625817	[club67809549|UMKA MALL – товары из Китая в России], вот только что заказал колонку,трек номера для отслеживания нет на сайте,я так понимаю и не будет,ибо курьер?	из Вьетнама	Казань	18	Россия	2
9826717	1586627	Ребята, есть кто из Германии ? Они ответное СМС не присылают что ли ?	из вьетнама	Калининград	None	Россия	1
93293381	1556117	Вот из Ирландии выступила красиво, нет же надо было выбрать пару в ласкутках, ужаснее их никто не пел, бесвкусный мир	из Германии	Калининград	18	Россия	1
255920069	1654884	удивительно,но мне 1 раз в жизни нравится песня из Белоруссии)	из Германии	Калининград	None	Россия	2
31773200	7469645	теперь они просто перепилят магистральный кабель из Финляндии и введут чебураху	из германии	Калуга	None	Россия	2
133406044	7751580	Едешь такой из Грузии а на границе-Кааантрольная поссачка.....мля...	Из Германии	Камышин	17	Россия	2
112861912	1542260	ЧЕХИЮ,СУКИ,ВЕРНИТЕ! ОПЯТЬ В ГОЛОСОВАНИИ НАПИЗДЕЛИ! ТВАРИ! СЛОВ НЕТ! КАКОЙ ДИБИЛИСТИЧЕСКИЙ НОМЕР ИЗ ИЗРАИЛЯ ВЗЯЛИ...ДА И ОСТАЛЬНЫЕ ДРУГИЕ,А СИЛЬНЫЙ НОМЕО НЕ ВЗЯЛИ! САМОЕ ПОЗОРНОЕ ЕВРОВИДЕНИЕ ЗА ВСЁ ВРЕМЯ СУЩЕСТВОВАНИЯ! Я РАССТРОЕН! МДА,ТО РОССИЯ НА ПЕРВОМ МЕСТЕ,ТО ТЕПЕРЬ ШВЕЦИЯ! УВАЖАЕМЫЕ ИДИОТЫ,ВЫ УЖ ОПРЕДЕЛИТЕСЬ!	из Германии	Кашин	19	Россия	2
275181411	1605378	я прикалываюсь сижу Монс из Швеции набрал очков 367  Александр Рыбак из Норвегии 387 очков и Монс младше Саши на один месяц всего 😆	из Германии	Кемерово	None	Россия	1
87325220	2637797	На него можно фотать сьёмки плохого Российского кино. Баду нужен новый артефакт из Америки)	из Германии	Кемерово	None	Россия	2
26118692	2360469	Luna, возможно, я неправильно выразилась. Я могу сильно ошибаться. Спорить не буду, если я не права. Несмотря на то, что Данилко из Украины, он выступал в России и по прежнему популярен в нашей стране. К примеру, так же, как София Ротару, Каменских и другие.	из Германии	Киреевск	29	Россия	1
112459631	1942587	[id155978475|Nata], какой нахер гей??? Че дура, у него девушка есть. Про стольких артистов из России  говорили, что они геи....лол	из Германии	Киров	None	Россия	1
5183715	7620247	[id14049773|Алексей], а, ты из Киева, прости, не заметил.	из Германии	Киров	29	Россия	2
89901319	2085426	Лаура Тесоро из Бельгии	ИЗ ГЕРМАНИИ	Киров	29	Россия	1
43284189	17635306	[id264297462|Степан], любая история темная, каждый победитель под себя пишет ее. Кстати мировой коммунизм не Ленин спосировал а закрыл эту кормушку Сталин и тогда у СССР и начался подьем , после уничтожения тех кто выжимал из России все соки ...	из грузии	Киров	None	Россия	2
236623287	1843487	[id142529591|Денис], интересно, как он из Киева за Украину голосовать собрался?)	из Грузии	Кировский	19	Россия	1
142090828	2034141	[id197005183|Ксения], если ты из России,то нам нельзя за себя голосовать 😊	из грузии	Козьмогородское	20	Россия	2
10537148	2222850	[id86515706|Mandy], я вашего языка не знаю, но ваши политики знают русский, на этом языке и было послание для конкурсантов из Армении... У меня друзья служат на границе, оттуда и инфа! Сами посудите, об этом и не раз говорилось, что постоянно нарушает огонь тот, кто потерпел поражение в схватке.... Зачем армянам стрелять, если земля под их властью? Так что, все логично и просто... Давайте не будем больше это обсуждать, даже если мы неделю будем переписываться, ничего в мире не изменится, кроме наши с вами испорченных глаз) И, я никогда не ненавижу незнакомых мне людей)) Так что, всех вам благ)	из Грузии	Краснодар	None	Россия	1
137741126	2317397	Как можно посмотреть Сегодня Финал Из России Офф Сайт ?	из грузии	Краснодар	21	Россия	2
326341203	2294347	Ребята из Украины и Беларуси, поддержите сегодня Йоци своими звонками и смс, потому что есть риск, что его могут слить в угоду штампу и милым мордашкам 😒.	Из Грузии	Краснодар	None	Россия	1
28747237	7555100	С каждой новостью из России я все больше понимаю что это всё. потраченно	из Дании	Красноярск	None	Россия	2
50704197	1549631	парень себастьян из Австралии.	из Екатеринбурга	Красноярск	20	Россия	2
180990310	1551537	"[id167688365|Лера], как говорят ""ангел из России"""	из Екатеринбурга	Кудымкар	None	Россия	2
154778073	1853009	Мальчик из Венгрии ...ммм	ИЗ ИЗРАИЛЯ	Кузнецк	None	Россия	1
10907906	411218	""" ... дорога к городу не асфальтированная, это просто грунтовка, накатанная по вспаханному полю...""  Очередная утопическая идея очередного блаженного? Которому не хватило ума придумать что-то своё? Всё слизано с Германии.  Или это очередная секта?   Вот реальный , уже действующий проект рядом с Казанью. Город высоких технологий Иннополис, Татарстан, Россия.  Постоянно в городе находится около 1000 жителей (местных и приезжающих). Это самый молодой город России, который построен только на 10-15%. Находится в 40 километрах от Казани. «Открылся» город два года назад, и планируется, что тут поселится аж 155 тысяч светлых умов. Будет тут все по высшему классу — интересная архитектура, сделанная как надо инфраструктура, первый в России IT-вуз. Этакий город будущего. Уже сейчас тут есть дома, универ, технопарк, магазин, больница, детский сад, спорткомплекс, а все немногочисленные жители общаются в Telegram. Но пока это, конечно, моногород, и вся жизнь кипит вокруг университета. А вокруг — большая стройка светлого будущего.  Попасть в него может абсолютно любой человек, город открыт. За 600 рублей сюда можно скататься с двухчасовой экскурсией. А так любой желающий может снять жилье (оно дешевле, чем в Казани) и днями напролет любоваться на перспективных айтишников и быстро растущий молодой бизнес-инкубатор. Переехать в Иннополис может представитель любой профессии.  Из Казани до инно-города можно доехать примерно за час на бесплатной маршрутке (ходит 8 раз в день)."	из Израиля	Курган	None	Россия	2
11825139	1912572	Кореянка из Австралии, супер!!!!!😇😇😇	из Израиля	Курск	33	Россия	1
223965229	1991027	Песня неплохая,,но глядя на его внешность не верится что он из Израиля	из Израиля	Липецк	29	Россия	2
67089809	392466	[id196022353|Александр], выдвигаюсь на днях из Москвы, в первых числах сентября уже в горном Алтае планирую быть, может пересечемся где-то.	из Индии	Липецк	22	Россия	1
152741114	17928639	"""Из России в Украину скачем скачем на дельфине, кто не скачет тот - москаль, за границу нас пускаааай"""	из Ирландии	Люберцы	15	Россия	2
195173363	1973412	[id160955065|Дэнис], на этой фотографии изображен Frans из Швеции,а вы пишите что он (фу) и что вы болеете за Францию.Зачем так делать?Свое мнение пожалуйста держите при себе.Спасибо.	из Ирландии	Людиново	None	Россия	1
171235249	2124788	Да, уже объявлена участница из Сан-Марино	из Ирландии	Махачкала	17	Россия	2
55294420	7741160	Уно, дос, трес, о вы из Испании	из Ирландии	Москва	None	Россия	2
183027296	7530290	[id2053204|Толик], при том при всем я переехала из Москвы и большинство моих друзей там зарабатывают +-50к, но работы у них более чем нормальные(типо: куратор музея соврем. искусства, журналист, администратор в крупной компании итд) и это нормальная(конечно нет*) зп даже в мск	из Исландии	Москва	None	Россия	1
151629421	1607506	[id106942487|Аня], я из России,  дура	из испании	Москва	112	Россия	2
1685310	7534583	[id161193413|Дмитрий], у меня предложение: к 100-летию, т.е. в 2024, в Горках. Собрать средства коммунистов мира (а из Китая очень хорошая помощь будет) на точку паломничества. Кстати в Горках уже музей Ленина есть, но обретёт мировую славу.	из Испании	Москва	33	Россия	2
75384441	1752271	[id191095620|Азусенна], ты знаешь,певец из Швеции тоже был без платья) Читай внимательнее переписку)	Из Испании	Москва	None	Россия	2
335241093	7745523	[id265612176|Сергей], шикарное обстоятельство: муж фанатик. То, что женщина не может его послать и уехать в другой город от него исключительно ее вина.  Не выезжаешь из России и не даешь согласие на вывоз детей. Ночью садишься в автобус и уезжаешь подальше Профит Но нет. Надо поехать в ИГ и винить всех, кроме себя. Бомбили террористов. Ах какие плохие	из Испании	Москва	22	Россия	2
21835157	1921974	Не нравится политизация песни. Но как певица.. Обожаю. Она меня купила своим голосом, как обычно. Украина всегда (практически) отправляет очень достойных исполнителей. Я давно хотела Джамалу на Евро. Только вот несколько двусмысленная песня для меня чуть-чуть портит впечатление... Я из России;)	из Испании	Москва	None	Россия	1
8648944	419364	Проехала за этот сезон на малокубаторном suzuki vanvan 5000км. Из Москвы в Алматы и по Казахстану немножко. Удобно и недорого.	из Испании	Москва	24	Россия	1
185480597	2166403	Была только Амината лучшая из Латвии больше никто.	из Италии	Москва	None	Россия	1
233071395	1571330	А каким номером будет Нина Сублатти из грузии? 	из Италии	Москва	None	Россия	2
59520514	1882484	[id295291379|Катя], да этот турок из Сан-Марино покруче всего набора спел	из Италии	Москва	21	Россия	2
267012334	404951	"Андрей, ну полностью пешком пройти тебе навряд ли удасться)))  Не забывай, что во всех странах есть речки))) А ты же не Иисус Христос что бы ходить по воде))))       Я прошла из Москвы до Байконура пешком за 2 месяца.   Но не всегда пешком, из-за речек стопила, либо, когда было уже темно, а я одна, а до ближайшей деревни далеко и потому было немного страшновато))) В день проходила 8 часов, примерно 25-30 км.  Слишком много ходить не советую, оставляй время запасное, для того что бы найти место для ночлега!   Потому что устанешь, сильно хочешь спать, а если ещё холодно и дождь, то это вообще  пипец ))))  Иногда приходиться ходить дополнительно километров 5, чтоб найти где поставить палатку))))  Что ещё посоветовать?    По уровню важности:    1. Самое главное, конечно же прочная удобная обувь. Я покупаю настоящие военные БЕРЦЫ в военторге. Чтоб были качественные, кожаные, полностью закрытые, желательно с хорошим протектором.  Никакие сланцы или кроссовки тебе в этом не помогут)))  Потому что на дороге встречаются и острые камни, и коряги, и колючки, и змеи, и другие разные кусачие насекомые ))), и глубокие лужи и грязь и т.д. и.т.п.  2. Очень хороший,  качественный и яркий налобный фонарь! Это очень важно! А то не дай бог свалишься, где-нибудь в яму или в канализацию и хрен тебя кто найдет)))) 3. Дождевик (водонепроницаемая куртка). Желательно, которая складывается в мешочек. Качественная!  4. Крем от комаров!  5. Газовый балончик или шокер от каких-нибудь бродячих собак или других непонятных животных (в том числе от двуногих:))  Хотя, страшней комаров, мне ещё никто и никогда не встречался 🤣 6. Очень ТЁПЛЫЙ спальник!  Тем более, если хочешь идти сейчас, то бери максимально зимний)))) В магазине так и скажи: ""Мне для суровой русской зимы!"" 🤣 7. Лёгкая водонепроницаемая палатка. Лучше всего  самораскладывающаяся)))). Очень удобная вещь. 8. Желательно термобельё, чтоб не мёрзнуть.  9. Какие -то необходимые медикаменты: йод-карандаш.. Мне, например, очень важно было таблетки от головы, потому что по законам физики,  при жаре,  голова расширяется, что причиняет боль. 😄  Очень важно:  обычный и хороший ЛЕЙКОПЛАСТЫРЬ!  Может ещё и  пригодиться вместо скотча 🤣  10. Что ещё? Желательно покупать все качественное и не жалеть денег. В то же время не советую покупать слишком дорогое, т.к. что-то может поломаться, потеряться, испортиться, или могут украсть, а это будет печалька )))) И тогда  добиться главной цели, наслаждение дорогой, у тебя вряд ли выйдет. 😃 11. Всякую белеберду, вроде:  ножа, горелки, посуды, дрова, пилу, топор, кухонный комбайн, микроволновку, холодильник, посудомоечную машину и т.д. и т.п. брать не советую, лучше покупать уже готовую еду где-то в магазинах (палатках, кафешках). Часто местные жители знакомятся и угощают)))   Хотя.. горелка вещь удобная, решай сам)))  12. Штаны со множеством карманов. Тоже очень удобно. Тогда рюкзак будет намного легче носить)))    ...Можно купить солнечную батарею.  ...  А нафик? :))) Сейчас на любом вокзале можно зарядить бесплатно гаджеты...      И бери как можно меньше вещей!      Только самое необходимое, а иначе с тяжёлым рюкзаком, трудно будет опять же наслаждаться дорогой. Лучше докупай всё по дороге и в маленьких пропорциях (ёмкостях).      У меня по началу много всего было, но потом приходилось по дороге всё выкидывать-раздавать. Сейчас мой рюкзак весит не больше 5-6 кг :)))    Лучше деньги возьми, они лёгкие )))) А ещё лучше банковскую карту))  Возьми воду и сухари(орехи)!  Хотя, воду тебе могут налить хоть где. )))      Насчёт где мыться.. Практически на каждой стоянке, есть  душевые: 150 р. Там же можно попросить постирать одежду, примерно за такие же деньги. Но, маленькое мыло, лучше с собой всегда носить. (з. пасту, з. щетку, салфетки, и т.д.)       По поводу Визы и пересечения границы Афганистана, Индии и Непала ничего не могу посоветовать, т.к. сама так и не дошла туда. Хотя хотела в Индию. Но, по семейным обстоятельствам, скажем так, не получилось))))  Спроси у В. Шанина, он вроде, вообще, все страны без Виз пересекает. https://vk.com/id2705492.  Хотя.. пока дойдёшь до Казахстана, мои советы как раз тебе  пригодятся)))         И не обязательно идти прям каждый день, делай себе выходной.)))  Всё равно иногда приятно целый день поваляться на травке или в палатке и почитать что-нибудь))))) или послушать пение птиц)))))     Я тоже посоветовала бы тебе  отправиться весной, но если хочется именно сейчас, то дерзай, как говориться. Не мучай душу)))    Тем более неизвестно, что лучше.. летом в этих странах ужасная жара: +40 и больше.. Но если надумаешь идти летом, бери пульвезатор - он меня спасал. Может маленький вентилятор на батарейках, солнцезащитный крем и шляпу!   И не слушай тех, кто говорит нужно сперва позаниматься физкультурой, готовиться, качать мышцы и т.д. По моему ходьба пешком по 20-30 км в день это уже и есть занятие физкультурой))) Конечно, к вечеру будешь сильно уставать, но за ночь отдохнёшь и пойдешь дальше)))"	из Италии	Москва	None	Россия	1
78042392	2229793	[id231881814|Дмитрий], согласен,Сталин вождь великого народа.И этим все сказано.Человек,который сделал хоть что-то из России !	из Италии	Москва	None	Россия	2
205152969	2209392	"Я хоть и из России, но крайне разочарована выбором. Видно же, что отправили из жалости, потому что голос далеко не идеальный. Песня тоже какая-то вялая. Я понимаю, что окажись я в такой ситуации, что бы я делала, но делать ставки на ее ""положение"", крайне тупо, учитывая то, что в прошлом году Украина поступила примерно также, надавив, так сказать на больное. Были конкурсанты с таким голосом, что там бы все позавидовали. Но нет, нам же надо больше ""изюма"" впихнуть.  Помню, в прошлом году я была полностью уверенна в Сергее: голос хороший, песня тоже, как раз для евро, невероятный номер, но увы.. в этом году одно разочарование.  Лучше бы вообще не ездил никто, опять будет срач во всех соц сетях, ненависть к друг другу и упреки.  Я, конечно, все равно буду болеть за нашу, но не так, как в прошлом году.   Всем мир✌🏼️🌍"	из Италии	Москва	22	Россия	1
13865892	1913846	Ну знаете азиатку из Австралии сложно в принципе забыть) точно в финале, но вот саму песню не запомнила, хоть и спела она шикарно.	из Казани	Москва	30	Россия	1
850636	1606686	Помимо нашей, болела за Эстонию,  вот и сейчас в плеере их песня играет! Швеция тоже понравилась, номер всегда был половиной успеха на этом конкурсе, а номер был классный!) А еще понравился мужик из Монтенегро и трио из Италии))	из Казани	Москва	None	Россия	1
124571216	17268098	заказывал перчатки себе на алиэксперес из китая до внуково долетели за 9дней а из внуково до подольска шли 23 дня я уже думал что потерялись.	Из Казани	Москва	42	Россия	2
368398727	367369	Я недавно из Вьетнама вернулся и уже скучаю :)	из Казани	Москва	None	Россия	2
