,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,age,city,country,from_id,id,miss,sex,text
10,10,10.0,100.0,None,Новосибирск,Россия,209088576.0,17428525.0,из России,2,"Когда переехал из России жить в Испанию, а привычка ебошить как конь осталась..."
11,11,11.0,498.0,18,Москва,Россия,93894981.0,17418871.0,из Америки,1,"[id405198501|Глеб], он из Америки, они не сидят вк"
12,12,12.0,861.0,None,Санкт-Петербург,Россия,16303970.0,17415065.0,Из Польши,1,"Расисит! Из Польши советую ему не выходть , женщины мира ему это не простят. Я уже представляю , как он горит на костре))) как ведьма 🤣"
13,13,13.0,51.0,18,Запорожье,Украина,410784462.0,17588044.0,из китая,2,"[id20124006|Александр], и то из китая"
14,14,14.0,476.0,25,None,None,435297243.0,17593280.0,из Москвы,2,Самое главное приезжих на работу не брать. Пусть валят из Москвы в свои регионы с деревнями.
15,15,15.0,521.0,23,None,None,444774061.0,17583251.0,из Москвы,2,Девочки из Москвы есть ?
16,16,16.0,358.0,30,Москва,Россия,155571369.0,17583156.0,из Самары,2,"[id132146985|Влад], москвичей то там где увидел? Или у тебя любой Вася из Самары и Света из Саратова что в Москве три месяца на съёме живут сразу москвичами стали?? ))"
17,17,17.0,360.0,21,George Town,Острова Кайман,132146985.0,17583246.0,из самары,2,"[id155571369|Андрей], ты считаешь что вася из самары и света  из саратова которые на сьеме живут могут себе такую хуйню позволить? Я вот не уверен, друг)"
18,18,18.0,42.0,None,Пермь,Россия,62879270.0,17702861.0,из Китая,2,"Почта России и так охреневала ""как так доставлять четко за 3 месяца товар из Китая например на урал"" ведь для нее доставка из одного района в этот же район (расстояние 5км), занимает около месяца.(факт) а тут такое громкое заявление."
19,19,19.0,103.0,None,None,None,51711406.0,17703310.0,из Китая,2,че это будет? из Китая быстрее чем из Москвы в Москву?
20,20,20.0,135.0,19,Воткинск,Россия,212205357.0,17703643.0,Из Китая,2,"Из Китая в Россию 1 неделя, в твой город 3 месяца👍👍"
21,21,21.0,136.0,None,None,None,398944699.0,17703664.0,из России,2,"В Россию то они могут ускорить, а вот доставка из России до моего города останется прежней"
22,22,22.0,154.0,None,Воронеж,Россия,116175700.0,17703845.0,Из Китая,2,Из Китая в Россию же
23,23,23.0,257.0,20,Москва,Россия,304495562.0,17706630.0,из Китая,2,"То чувство, когда доставка из Китая идёт быстрее чем с почты России"
24,24,24.0,318.0,None,Волгоград,Россия,377768403.0,17712689.0,Из китая,2,Из китая в Россию то они ускорят. Но кто ускорит почту России
25,25,25.0,302.0,None,Леуши,Россия,196262245.0,17718516.0,из Кореи,2,"А почему мутанты из Кореи говорят на Украинском, вы что блять дибилы ??!!"
26,26,26.0,445.0,None,None,Россия,3792015.0,17709353.0,из Беларусии,2,"[id60468515|Александр], из Беларусии"
27,27,27.0,266.0,None,Auckland,Новая Зеландия,191545739.0,17999293.0,из Кореи,1,"А ничего, что Доширак изначально из Кореи?😂😂"
28,28,28.0,271.0,None,Краснодар,Россия,144968228.0,17999533.0,из россии,2,"[id191545739|Анастасия], а ничего что надо внимательно читать строчку ""на российском рынке"" это значит что она была завезена из другой страны а не из россии,ты походу безграмотная только и умеешь сосать хуи"
29,29,29.0,190.0,25,Воронеж,Россия,379357235.0,17992591.0,из Казахстана,2,"извините, а что он спустил? я девственник из Казахстана, вашего слэнга не совсем понимаю."
30,30,30.0,139.0,None,None,None,413450375.0,17994989.0,из кореи,2,"Этот чувак что,из кореи"
31,31,31.0,422.0,None,None,Россия,356988298.0,17989768.0,из России,2,У него есть верный последователь культа из России.
32,32,32.0,1060.0,24,Москва,Россия,224393053.0,18043165.0,из Москвы,2,"[id96627430|Павел], я не из Москвы хуепутало ты ебливое. Удачи тебе с 30 к в месяц........ Мужик."
33,33,33.0,1061.0,26,Boston,США,96627430.0,18043177.0,из Москвы,2,"[id224393053|Павел], если ты не из Москвы то обношеный всеми районами сборный сперматозоид всех наций😁кстати ты так на девочку похож, подрабатываешь))?"
34,34,34.0,257.0,None,Москва,Россия,456098136.0,17978554.0,из России,1,"[id92458937|Владимир], про ак 47 я ничего не говорю, для меня просто человек который употребляет наркотики - слабый человек, и не важно из России он или из США"
35,35,35.0,605.0,116,None,None,202773264.0,17968777.0,из России,2,"[id367898369|Maxim], 1) я не из России 2)какая нахуй разница какой национальности умер, если это был артист, и он кому-то нравился?"
36,36,36.0,908.0,None,Симферополь,Россия,124259779.0,17970475.0,из России,2,"Если серьёзно, то жаль его :с
Я так посмотрел, он хорошим человеком был, и что важно - уважительно относился к фанатам из России, записал трек даже для них :3 
Покойся с миром, Лил"
37,37,37.0,93.0,None,Иваново,Россия,341288390.0,17310678.0,из Англии,2,"О,Вы из Англии?!"
38,38,38.0,323.0,None,Красноярск,Россия,50643323.0,17309109.0,из России,2,"Единственный автобус,  на котором можно уехать из России)"
39,39,39.0,132.0,None,Ковров,Россия,277441681.0,17302587.0,из Америки,2,когда ты не из Америки: DOCTOR
40,40,40.0,130.0,None,None,Россия,51728620.0,17300550.0,из украины,1,"[id277218782|Магомед], и вот про озлобленность на весь народ. у меня прадед из украины. перед войной по ложному доносу его расстреляли с конфискацией иммущество. дед (сын его) не получил нормального образования, т.к. отец репрессированный. в войну был в штрафбатах, на ложном аэродроме, мол, не человек, его отец был врагом народа. после плена остался жив, за что был отправлен после войны в ссылку. и только после смерти сталина он был свободен. по идее он должен ненавидеть россию, но он был патриотом и воспитывал в таком духе своих детей - любить родину. нельзя копить злость на всех людей из-за поступков кучки отдельных личностей"
41,41,41.0,1317.0,None,Псков,Россия,61181481.0,17948176.0,из Америки,2,"[id446978182|Макс], репер из Америки,сегодня умер от передозировки"
42,42,42.0,476.0,None,Москва,Россия,31319585.0,17944311.0,из России,2,"[id13391202|Пётр], вот поэтому умные люди и валят из России в ""гейропу"", там свобода и равенство, а в России остаемся только мы, со своими скрепами и ""понятиями"".😀"
43,43,43.0,690.0,None,None,None,453574937.0,17949284.0,из москвы,2,"[id410291291|Виталик], Звучит скорее как угроза чем понты ) ты можешь себе на фантазировать любой мир, и придумать что кушать кал, это почетно, но свое подсознание ты не обманишь, с чего вдруг у тебя низкая само оценка такая ? ) или ты хочешь сказать, что успешный бизнесмен из москвы у которого жена как с обложки плей боя, страдает от низкой само оценки, и лезет в интернет на мдк повысить свою само оценку, агря народ ?) не льсти себе малыш. Иди мультики посмотри лучше."
44,44,44.0,408.0,None,None,Россия,444994754.0,17951132.0,из России,1,"Вопрос не в тему.
Вот скажите мне кто-нибудь кто то знает иностранный язык полностью со школьной программы?
Я например учила 2 языка с 5 класса французский и немецкий и не знаю ни одного из них. Так же не знаю ни одного человека со школы кто бы знал ин.языки со школьной программы.
Бля с чем это связано? Так специально учат, чтобы мы из России не поуезжали что ли?"
45,45,45.0,120.0,None,None,Россия,29194432.0,17942718.0,из России,2,"Даже снегири улетели из России, а ты нет."
46,46,46.0,411.0,None,Москва,Россия,277927512.0,17939702.0,из Италии,2,"[id381744469|Алексей], а то что он был из Италии, это так , по фану"
47,47,47.0,163.0,None,None,None,173783600.0,17931244.0,из Севастополя,2,"[id403791034|Jack], о а я из Севастополя класс да"
48,48,48.0,172.0,30,München,Германия,141828928.0,17933804.0,из России,1,"Ахх... Ок. Я просто в России не когда не жила и не была, в два месяца возраст, увезли из России. Пару книг Пушкина читала. Но в моей стране у нас это в школе не учили. По этому не поняла в чём прикол"
49,49,49.0,74.0,23,Liverpool,Великобритания,40608781.0,17928459.0,из России,2,"Он выбирался даже с необитаемого острова, но из России ему не выбраться"
50,50,50.0,93.0,15,Люберцы,Россия,152741114.0,17928639.0,Из России,2,"""Из России в Украину скачем скачем на дельфине, кто не скачет тот - москаль, за границу нас пускаааай"""
51,51,51.0,177.0,None,Лесколово,Россия,20028644.0,17934922.0,из Минска,2,"В котором можно вкусно покушать и развлечься. Но я заметил что ты из Минска ахах, так что рандеву не состоится)"
52,52,52.0,22.0,21,Санкт-Петербург,Россия,4545172.0,17200125.0,из Питера,2,34% всего тут из Питера?(((
53,53,53.0,470.0,None,None,None,354828864.0,17202109.0,из Питера,1,Эти 31% из Питера.
54,54,54.0,549.0,19,Омск,Россия,213052778.0,17202610.0,из Питера,2,Это опрос на то сколько в МДК людей сидят из Питера?
55,55,55.0,679.0,None,Вологда,Россия,13551832.0,17203765.0,из Турции,2,"Блюдо происходит из Турции, откуда и получило свое исходное название: çevirme — переворачивание, первоначально означало мясо на вертеле. 
Сведения расположены в алфавитном порядке согласно первому географическому названию в абзаце. 
В Азербайджане шаурмой называют блюдо с белым кисло-сладким соусом и в лаваше, в то время как традиционная шаурма называется дёне́р-кеба́б или просто «дёне́р» (азерб. dönər) . 
В Алжире шаурма называется дене́р. 
В Армении это блюдо называется карси-хоровац (шашлык по-карски) . Шашлык по-карски представляет из себя большой кусок мяса на вертеле, с которого постепенно срезают кусочки по мере приготовления и заворачивают их в псацах (тонкий пресный листовой армянский ""лаваш"").
В Бельгии используется название пита-дюрум (фр. pita durum), или просто durum (от турецкого dürüm — завёрнутый) , если начинка завёрнута в тонкий лаваш, или просто пита (фр. pita), если начинка кладётся в половинку питы. 
В Болгарии используется название дюнер. 
В Великобритании называют сокращенно «кебаб» от турецкого — Döner kebab. 
В Германии используется название дёнер-кеба́б (нем. Dönerkebab), или просто Döner. Также используется название дю́рум (от турецкого dürüm — завёрнутый) , если начинка завёрнута в тонкий лаваш. 
В Греции и на Крите мясо, приготовленное на вертикальном вертеле, называется гирос, а начинённая этим мясом пита — гирос пита. 
На Дальнем Востоке (Хабаровск и т. д.) , принято название — шаурма или дёнер. 
В Израиле для того же блюда используется название шава́рма [1], но из-за отсутствия огласовок в обычном написании на иврите (שווארמה) широко распространено прочтение «шва́рма» ; арабы, живущие в Израиле, произносят его как шуа́рма (без ярко выраженного ударения) . Подается в лепешке-пите, или в тонком лаваше — лафе. Коренные иерусалимцы называют лафу «аштанур» . Любимые приправы — тахинный соус с укропом, «амба» , иногда кетчуп. В израильской шаурме полностью отсутствуют молочные составляющие в любом виде из соображений кашрута 
В Иране блюдо называют «турецким кебабом» (перс. کباب ترکی). 
В Казахстане продаётся и шаурма и различные донеры (донер-кебаб, донер-дурум) . 
Ливанское название для шаурмы — кубба́. 
В Москве употребляется слово шаурма́, в Санкт-Петербурге — шаве́рма (см. Различия в речи москвичей и петербуржцев) . В находящейся же между Санкт-Петербургом и Москвой Твери используется слово шава́рма. 
В Польше используется название ке́баб (от нем. Dönerkebab) с поправкой на польское ударение (всегда на предпоследний слог) . 
В Румынии употребляется название шаорма или шоорма. 
В Узбекистане употребляется название турк-кабоб или донар, редко шаурма. 
На Урале (Екатеринбург, Пермь) приняты оба названия — шаурма для блюда, где начинка заворачивается в псацах, а шаверма — когда берется половинка питы и наполняется начинкой. 
Во Франции это блюдо называется кебаб (le kebab)."
56,56,56.0,887.0,None,Севастополь,Россия,423106725.0,17207997.0,из Питера,2,"это смотря откуда ты, из Питера или Москвы..."
57,57,57.0,998.0,23,Санкт-Петербург,Россия,155074474.0,17212301.0,из Питера,1,"Те кто проголосовал ""шаурма"" - не из Питера, инфа сотка"
58,58,58.0,1102.0,None,Киев,Украина,156860044.0,17225017.0,из питера,2,60 тысяч из питера
59,59,59.0,423.0,None,Алматы,Казахстан,15819315.0,17195490.0,из Казахстана,2,В чем прикол? Я просто из Казахстана
60,60,60.0,106.0,20,None,Россия,152371783.0,17192132.0,из Казани,1,Я из Казани. Но про это ничего не слышала
61,61,61.0,126.0,None,Казань,Россия,389313917.0,17192187.0,из Казани,2,"Чёт какая то хуета ребята 
Я сам из Казани ,у нас снег не лежит ни где 
Суд перенесли на 4 апреля ,до апреля как до китая раком ,суды переносят только на 2 месяца максимум ,так как содержание в СИЗО больше этого срока без доп суда,быть не может"
62,62,62.0,218.0,None,České Budějovice,Чехия,368532354.0,17192751.0,из Чехии,2,"[id119342426|Semen], что, прости? Давай ты побываешь во всех странах и разберешься во всех судах, тогда и будешь говорить? Лично я из Чехии, и попадал в ситуацию не только с изнасилованием, но и избиением. Максимум, что произошло — направили к психологу, лол. У известного мне человека нашли опухоль в мозгу, поэтому ему ничего не сделали, а остальных и искать не стали. Это нормально? Это не Россия, ку-ку."
63,63,63.0,351.0,17,Казань,Россия,248368179.0,17193908.0,из Казани,2,Я из Казани
64,64,64.0,490.0,23,Пенза,Россия,16405558.0,17195735.0,из Казани,2,"[id125680792|Сулейман], да поебать я не из Казани)))"
65,65,65.0,632.0,None,Волгоград,Россия,154162122.0,17204054.0,из Казани,2,"Бля , недавно из Казани вернулся"
66,66,66.0,673.0,116,Тула,Россия,218847706.0,17247901.0,из Казани,1,"[id214630488|Эдик], обвиняемый и истец оба из Казани, татары.
Мде... такие выводы по одной фразе. Я вообще в другой части света живу

Правда, что только люди с низким интеллектом становятся расистами. Плохо быть тобой"
67,67,67.0,279.0,None,Санкт-Петербург,Россия,161113583.0,17234654.0,из Англии,2,"[id447529348|Артем], О, Вы из Англии"
68,68,68.0,206.0,24,Набережные Челны,Россия,240404631.0,17188433.0,из Москвы,2,"[id137274846|Марк], Я тоже ненавижу эти хрущёвки, но что бы нормально что то возвести, нужно столько труда и ресурсов, этим бы занялся наш президент, если бы ему не мешался другой из Москвы с которым наш не всегда согласен."
69,69,69.0,19.0,None,None,None,293209070.0,17187288.0,из Казахстана,2,"[id311405696|Роман], привет из Казахстана"
70,70,70.0,689.0,21,Воронеж,Россия,155408690.0,17188238.0,из России,2,да все полюбас за окси проголосуют т.к. он из России.
71,71,71.0,820.0,None,Шарья,Россия,252376230.0,17196348.0,из России,2,"Оксимирон хуета, я из России поэтому я за дизастера"
72,72,72.0,164.0,27,None,None,155137551.0,18270774.0,из Москвы,2,"Ищу свободную девушку из Москвы от 20 лет и старше,ни чего обещать не собираюсь, просто отмечать нг одному скучно...."
73,73,73.0,289.0,None,None,Россия,408725273.0,18258088.0,из России,1,"Борис, ну значит говорю же и нормальной бабе тогда тоже скалку в одну руку, а сковородку в другую!А что провинился мужик, получи.. Тогда ни одна семья, ни одна существовать не будет!Не хер руки распускать, не поймал не доказал, а если она живет в уругвае, поставили лайв из России все она значит и тут тупила и изменяла, мужчины, Аууууууу опомнилась, руки чешутся, чеши их в спорт зале!"
74,74,74.0,119.0,None,Уфа,Россия,281407021.0,18255932.0,из Франции,2,Это экстрималы из Франции это правдивая гифка и кстати их там двое было
75,75,75.0,58.0,None,Пермь,Россия,214657991.0,17683959.0,из перми,2,Я из перми
76,76,76.0,113.0,None,None,None,439713216.0,17684137.0,из Перми,2,То чувство когда ты из Перми🙄
77,77,77.0,921.0,None,Мухоедово,Россия,217462287.0,17689807.0,из Перми,2,Я из Перми
78,78,78.0,1140.0,None,Москва,Россия,46199897.0,17698245.0,из Питера,2,"[id303522988|Семён], наверное ты ехал из Питера, а она ела твой хуй как бургер??"
79,79,79.0,1247.0,None,None,None,55366047.0,17702535.0,из Перми,2,Кто из Перми
80,80,80.0,1329.0,None,Москва,Россия,7676673.0,17710930.0,из Японии,2,"[id455342926|Кай], моя мама мной гордится, потому что я без чьей либо помощи добиваюсь всего сам, купил машину, снимаю квартиру и плачу за все сам, у меня высшее образование, я отслужил в армии. А ты японец 🤣 сочиняй дальше свои реп стихи недоразвитые 🙈 и делай селфи в зеркале... И на будущее запомни, попробовать задеть человека упомянув его маму это последнее дело ! Это в первую очередь не уважение к своей маме!!! Следовательно ты ничтожен, слишком глуп и ущемлен своими комплексами, такие люди всегда пытаются на публику рассказать , что они из Японии или Нью-Йорка🙈 успехов в развитии тебе и здоровья твоим родителям."
81,81,81.0,1332.0,None,Москва,Россия,7676673.0,17711028.0,из Японии,2,"[id455342926|Кай], я не пытался удивить, а лишь привел факты подтверждающие мою самостоятельность!И разница между нами в том, что я не кричу всем откуда я и что у меня дорогие вещи! Об этом не стоит говорить громко, те кому надо сами поймут сколько стоит одежда и машина, в жизни есть более важные вещи, и ещё раз давай вспомним, что это ты проявил желание написать мне !!! А после этого на публику сообщил, что тебе дорого из Японии ехать ..."" Семь раз отмерь, один раз отрежь""🙂"
82,82,82.0,885.0,None,Марфино,Россия,127288660.0,17677392.0,Из России,2,Из России с любовью
83,83,83.0,2671.0,None,None,None,272785176.0,17679922.0,из питера,2,Оралман из питера🤣
84,84,84.0,4333.0,None,Kiniquiarí,Колумбия,220547838.0,17682913.0,из Украины,2,"Выжить после, если что я из Украины"
85,85,85.0,96.0,None,Омск,Россия,344231732.0,17660251.0,из России,2,"[id177117264|Миша], а причём здесь Путин если она вообще не из России?"
86,86,86.0,13.0,None,None,None,442432115.0,17732217.0,из России,2,я один из России написал бы деду морозу? :/
87,87,87.0,178.0,None,Новосибирск,Россия,109376154.0,17733940.0,из России,2,"Ну блин... Тогда уебывайте из России, раз тут все плохо"
88,88,88.0,1069.0,None,None,None,456253024.0,17866998.0,из Москвы,1,"Познакомлюсь с парнем из Москвы / МО желательно, для совместного хорошего
времяпровождения. Не малолетка, квартира своя есть. Только реал, никаких
виртов"
89,89,89.0,1173.0,None,Великий Новгород,Россия,146292688.0,17936556.0,из москвы,2,Есть кто из москвы побухать
90,90,90.0,74.0,None,Санкт-Петербург,Россия,122578439.0,17726660.0,из Армении,2,Она просто из Армении
91,91,91.0,489.0,None,Самара,Россия,19592415.0,17730242.0,Из Грузии,2,Из Грузии она
92,92,92.0,43.0,None,None,Россия,151886519.0,17725642.0,из вьетнама,2,флэшбеки из вьетнама
93,93,93.0,757.0,25,Москва,Россия,363068409.0,18068048.0,из России,2,"Чурки ебаные в край охуели!! Сжечь нахуй всех до одного, а прах вывезти из России"
94,94,94.0,1542.0,28,Москва,Россия,324562466.0,18070719.0,ИЗ МОСКВЫ,2,"РУССКИЙ НАРОД КТО ЖИВЕТ В ПРИМОРЬЕ, В НЕПОСРЕДСТВЕННОЙ БЛИЗОСТИ ОТ ОБЪЕКТА ГДЕ ВСЕ ПРОИЗОШЛО?! ДЕВУШКА ТЫ ИЛИ ПАРЕНЬ, ЕСЛИ ТЫ ПОРЯДОЧНЫЙ (-АЯ) ДАВАЙ СОСТАВИМ ПЕТИЦИЮ В АДМИНИСТРАЦИЮ ГДЕ ВСЕ ПРОИЗОШЛО, ЭТИ ПАДАЛИ ДОЛЖНЫ ПОНЕСТИ НАКАЗАНИЕ ИХ НУЖНО ЭММИГРИРОВАТЬ  С НАШЕЙ СТРАНЫ! ИЛИ ДАТЬ СРОК ЗА ЖЕСТОКОЕ ОБРАЩЕНИЕ К ЖИВОТНЫМ! ЕСЛИ ЗАКОН НЕ ПОМОЖЕТ Я ПРИЗЫВАЮ ТЕХ КТО НЕ ХОЧЕТ ОСТАТЬСЯ В СТОРОНЕ И НАКАЗАТЬ САМИМ, ГОТОВ ОПЛАТИТЬ РАССХОДЫ НА ДОРОГУ ИЗ МОСКВЫ ИЛИ БЛИЖАЙШИХ ГОРОДОВ ПОДМОСКОВЬЯ!!! ПОЖАЛУЙСТА НЕ ОСТАВАЙТЕСЬ РАВНОДУШНЫМИ!!! Я НЕ РАСИСТ И У МЕНЯ МНОГО ЗНАКОМЫХ СРЕДИ ЛИЦ НЕ РУССКОЙ ВНЕШНОСТИ, НО МНОГИЕ ИЗ НИХ ПРОСТО ТВАРИ КОНЧЕННЫЕ ОНИ ПОПУТАЛИ ВСЕ РАМКИ И СЛИШКОМ ВАЛЬЯЖНО ЧУВСТВУЕТ В РОССИИ!!! ЭТО НУЖНО ПРЕКРАТИТЬ!!!ОТЗОВИТЕСЬ ЖИТЕЛИ ПРИМОРЬЯ!!! ЕСЛИ НЕ МЫ ТО КТО!?!?!?"
95,95,95.0,1590.0,22,Tijuana,Мексика,173933405.0,18071009.0,из России,2,Обезьянам надо запретить выходить в цивилизацию ! Пусть сидят в своих норках и ебут своих однобровых волосатых жен. ХаЧи Идите Нахуй из России Пидрилы !
96,96,96.0,326.0,None,Los Angeles,США,362096885.0,18070012.0,из России,2,ну как я ведь из России родом
97,97,97.0,312.0,None,Жлобин,Беларусь,154061086.0,18061809.0,из России,2,"[id137629207|Кристина], засинтоленный фрик из России, сделал себе фальшивые бицепса синтолом (типо ботекса у женщин)."
98,98,98.0,21.0,27,Москва,Россия,373713028.0,18048740.0,из Германии,2,Кто их млять звал в СССР? Невинно убиённых... Прям выкрали из Германии и невинно убили))
99,99,99.0,490.0,15,Рудный,Казахстан,234370015.0,18050080.0,из германии,2,те кто пишут хуйню вы думать умеете? Он говорит о том что некоторые солдаты из германии тоже не хотели воевать как и советы не хотели воевать.Простите если грубо
100,100,100.0,501.0,None,None,None,360869803.0,18050116.0,из Украины,2,"[id42512973|Алексей], если я не из Украины, так каким боком это сообщение касается меня?"
101,101,101.0,515.0,None,None,None,360869803.0,18050167.0,из Украины,2,"[id42512973|Алексей], ты хоть сам себя понял? Ты мне ответил с тем учётом, будто бы я из Украины. Иначе твоё сообщение лишено смысла"
102,102,102.0,548.0,27,Киров,Россия,7754243.0,18050263.0,из России,2,"[id74182011|Владимир], Хули он не взял историю какого нибудь деда из России! Бедные блять немцы мы их содержали и после войны если ты почитаешь данные отправляли помощь почти до 85 года восстанавливали их страну наши люди."
103,103,103.0,592.0,None,None,None,94144351.0,18050397.0,из России,2,"После такой огласки ему остается только из России валить, жизнь у пацана сломана"
104,104,104.0,1315.0,26,Днепропетровск (Днепр),Украина,272366809.0,18061444.0,из России,2,"[id453990850|Евгений], почитать, как ни странно, можно даже вику, там годная очень статья про насилие советских солдат на территории Германии, по-моему все стороны вопроса рассмотрены достаточно объективно. А на парня наехали скорее за время и место. Напиши такое у себя в ВК, или сними видео для Ютуба, то воплей было бы намного меньше. А когда человек за границей, он должен понимать, что своим поведением он олицетворяет всю свою страну! А если учесть, что на Западе весьма зацензурированные СМИ и там уже который год вещают о страшных русских и их темнейшем повелителе угрожающем всему миру, и другого мнения просто нет. Имел возможность общаться с немцами, они своими СМИ верят больше, чем очевидцам событий. У меня знакомая так ездила в Германию, так ей доказывали, мол она дура и ничего не знает о том, что в её стране происходит, дескать немецкие СМИ не могут жеж врать! 
А тут на тебе! Приезжает парень из России и говорить вроде и миролюбивые вещи, но по-сути создаёт оправдательную базу. Сначала немцы не такие плохие, потом русские не такие хорошие, потом Сталин напал на Германию, а она защищалась, потом русские платите Германии репарации за ВМВ, а если не хотите, то мы вас снова пойдём ""освобождать"". Кажется безумием? А ведь большая часть из этой последовательности уже реальность, хотя была немыслима ещё лет 20-30 назад. Вот и бьют парня за такую подляну. Думать надо лучше, когда вещаешь с такой трибуны от лица всей своей страны. Добрыми намерениями вполне можно вымостить дорогу в Ад. А серьёзно говорить говорить о миролюбии в наш век, увы, не очень уместно и воспринимается скорее как слабость, чем искренность."
105,105,105.0,1631.0,None,Москва,Россия,1429751.0,18086563.0,из Москвы,2,"Максим, убивать никого не надо, их перевоспитывать надо. Они просто не получили той информации, тех примеров что были у нас. К ним не приходили ветераны и не рассказывали об ужасах войны. А историю преподавали пидорковатые хипстеры, которые мечтают свалить из ""сраной рашки"". И книги издаются не понятно какие, это системная ошибка, но и им стоит включать мозги. Я и не думал, что у нас так много профашиков. Один продвинутый мальчик из Москвы выше пишет, что ему стыдно жить среди такого быдла, как мы, что мы не поняли мальчика и еврогейские ценности. Страшно."
106,106,106.0,1695.0,21,Rīga,Латвия,307814679.0,18112963.0,из России,2,"[id69974554|Владислав], Мне на свастику всё равно, я знаю, что раньше она означала силу, защиту... а у вас там национализмом попахивает... (я не из России)"
107,107,107.0,44.0,16,Северск,Россия,153170078.0,18045506.0,из Австрии,2,А ничё что Шварценеггер из Австрии?
108,108,108.0,133.0,None,Минск,Беларусь,136858077.0,18046047.0,из америки,2,"[id199508970|Тихон], родом он не из америки 🤦‍♂️"
109,109,109.0,135.0,None,None,Россия,199508970.0,18046057.0,из Америки,2,"[id136858077|Даниил], а кто сказал что он родом из Америки?😆"
110,110,110.0,497.0,None,Макеевка,Украина,97987402.0,17527745.0,из России,2,"[id254441140|Максим], ты жил в америке и знаешь как там? нет, я не доволен, тем что все деньги у одного процента людей. Но в этом и сами люди виноваты. Власть такая, какую заслуживают. Веди все поголовно воруют у себя на работе. Почему бы и депутатам не воровать? Все стараются обмануть друг друга, что то ""намутить"", украсть, придумать какую то ""схему"" и т.д. И плюс я не из России, если что. У нас вообще война идет, грубо говоря, мое бывшее государство послало на меня войска"
111,111,111.0,1887.0,None,Севастополь,Россия,109290541.0,17521770.0,Из Таиланда,2,"Ты еблан 
Тут спору нет 
Ты проститукам 
Из Таиланда
Хуй сосешь за 100 рублей"
112,112,112.0,37.0,None,None,Россия,192683265.0,17508525.0,из россии,2,Что такое деньги? Я просто из россии
