,age,city,country,from_id,id,miss,sex,text
0,None,Донецк,Украина,117166018.0,2062225.0,Из Украины,1,Из Украины с любовью
0,None,Черкассы,Украина,117729785.0,2254705.0,из Армении,2,"Артист из Армении 
Песня из ЮК 
Задник из Бельгии 
Кипр из з@дницы"
0,21,Львов,Украина,118314569.0,314815.0,Из Норвегии,2,Из Норвегии за 120+ евро можно найти :)
0,None,Киев,Украина,11976750.0,2206314.0,из Украины,2,"Кто здесь из Украины, прочитайте это. http://m.dialog.ua/news/113478_1489399175"
0,19,Киев,Украина,122693067.0,344703.0,из Киева,1,"Привет, я из Киева, и у меня не бомбит от ""на Украину"". Хотя да, ""на"" используется когда речь идёт о территории в составе чего-то большего, как выше писали ""на Камчатку, на Урал"". Поскольку Украина - независимое, отдельное государство, используется ""в"", как и к любой другой стране. 
Просто за время, когда Украина была частью царской России, а потом и СССР, стало привычным говорить о ней, как о части большего целого, и за 25 лет независимости ещё не уложилась в умах новая норма."
0,None,None,Украина,123214522.0,1907630.0,из Украины,1,как за Лазарева из Украины проголосовать?
0,None,Донецк,Украина,123362756.0,1773129.0,из России,1,"[id156318045|Иван], Этавсепатамучто ты из России, ты нинавидиш Украину, дастали эти каментарии россиян, каторым нинравится песня Джамалы.
Джамала лучшая, Джа лучше всех!! Ахаххах. вы щитаите, что это лучше Джамалы??фууу, националист.😂😆😆"
0,None,Донецк,Украина,1259754.0,1584786.0,из Латвии,1,Девочка из Латвии такая страшненькая или ее такой сделали
0,None,Бердянск,Украина,126690615.0,1612193.0,из Швеции,2,"Российскую участницу на Евровидение 2015 - Полину Гагарину, обвинили в плагиате её концертного номера, который ей ставили специалисты из Швеции. Победителем Евровидения 2015 стал участник из Швеции ....Совпадение? Не думаю!"
0,27,Макеевка,Украина,13118750.0,2471699.0,из России,2,"да это же Норман Ридус) хакер из России, ну это там где ""сквозняки"" и мишки с балалайками))"
0,23,Чернигов,Украина,131773686.0,2007450.0,из УКРАИНЫ,1,"[id1951278|Наталия], да, я из УКРАИНЫ))) мне очень нравится выступление Сережи)) Желаю ему лучших результатов))"
0,None,None,Украина,131880151.0,1742080.0,из России,1,"[id630570|Виктория], я читала комментарии к песне и клипу Лазарева во многих группах контакта, не посвященных ни Евровидению, ни самому Лазареву и была очень удивлена реакции многих людей из России, многим ни песня, ни клип не пришлись по душе, многие вообще считают что он даже в 5-ку не войдет. Многие писали, что ожидали чего-то большего. Но разочаровались, а о победе так вообще никто и не писал, а если и пишут, то наивные люди. Ты можешь писать все что хочешь и даже верить в победу Лазарева, это твоё дело, но не тешь себя надеждами на 1 место, это бессмысленно. России победить не дадут."
0,None,Луцк,Украина,132301415.0,1799409.0,из Украины,2,"[id196392116|Ярослав], а зачем оскорблять жителей России? Ведь ты же сам начал этот политический срач. Пусть себе пишут, что хотят, а ты обойди сторонкой. Каждый будет любить своего президента, то ли ты из Украины, то ли ты из России, то ли ты из Америки, и каждый будет поддерживать политику своей страны. Все мы герои что-то сидеть здесь и говорить. Так лучше проигнорируй слова неадекватных людей, и займись в это время чем-то полезным. Я не поддерживаю политику ни Путина, ни Порошенко, для меня они отдельная тема. Живу, работаю и радуюсь для себя, для Украины, но не для них."
0,None,Каменское / Днепродзержинск,Украина,132684634.0,2341252.0,из Австралии,2,https://youtu.be/ufS_Z6Zqz1Q видос с типом из Австралии
0,None,Хмельницкий,Украина,134161760.0,2374895.0,из Греции,2,"[id419403669|Oksana], штамповка родом из Греции не может побеждать Евровидение, извините ли)"
0,None,Винница,Украина,134216647.0,17873150.0,из Украины,2,"[id408052060|Милана], я не на Украине, я в Украине. Вы же не говорите «на  России» - верно?
Во вторых я из Украины"
0,22,Александрия,Украина,134959989.0,1774257.0,из Украины,2,"[id157932940|Николай], ну я рад буду Хардкисс, сам из Украины😉, голосовал за них в этом году, жаль, что песня была не такая драйвовая как предыдущие."
0,20,Львов,Украина,136136506.0,2079073.0,из Польши,2,"[id349604176|Владимир], какое дно? 5 -ое место. Что уже Михалу Шпаку из Польши? Он слажал и заслуженно на последнем по жюри, хотя 3 по зрителям."
0,17,Вараш / Кузнецовск,Украина,136258061.0,1542986.0,из Литвы,1,"[id8561708|Monique], ты из Литвы? Да, конечно, это все неприятно читать про выступление своей страны. Но, не надо говорить, что все пишут ""говно, дно"". Есть же и адекватные люди"
0,20,Киев,Украина,138390059.0,1980800.0,из Украины,1,"[id272659516|Ольга], я из Украины -_-"
0,None,Днепропетровск (Днепр),Украина,138948519.0,1928260.0,из Украины,2,"Я из Украины за свою страну, все дела, но реально Джамала на финал не тянула ну никак....... по итогу она прошла, а Норвегия нет......"
0,None,Мариуполь,Украина,139025385.0,1940376.0,из Украины,1,"[id344290472|Ольга], и чем Вам ""эта ДЖАМАЛА из Украины"" не угодила?"
0,None,Киев,Украина,139126195.0,2311799.0,из Израиля,2,"Рядом со мной стояли ребята из Израиля. Когда назвали Беларусь проходившую в финал, их лица были примерно такими:"
0,17,Харьков,Украина,139296528.0,1823966.0,из Нидерландов,2,"[id302551639|Вячеслав], парочка из Нидерландов просто стояла и пела, даже не двигалась почти - второе место, у Санны, если не считать ее фонариков, не было номера - вышла-спела и третье место. Та же Гагарина была только с проекциями на платье, но тем не менее шикарно исполнила песню и заняла второе место. Не обязательно иметь супер номера чтобы добиться успеха."
0,None,Харьков,Украина,13930366.0,1733943.0,из украины,1,"[id134876604|Олександр], я из украины и мне не нравится вообще,у певца из Латвии голос хриплый,в середине вроде запел,но сухонько без надрыва.Лазарев круче спел,хотя это не его предел,и мог спеть лучше"
0,None,Одесса,Украина,139343033.0,379875.0,из России,2,"[id155026408|Эхо], в том то и дело,что я из Одессы и рад туристам из России!от них есть толк,а чтобы у людей не возникало вопросов нехер так шутить ! уже дошутились до ручки!,а ты о классике о какой правда ??"
0,None,Синельниково,Украина,13943172.0,1675302.0,из Питера,1,"[id630570|Виктория], прям из Питера видно? 😆
Ну посмотрите поближе, какой теперь Севастополь, при российской оккупации: https://www.youtube.com/watch?v=BCTB9o5novg"
0,None,Киев,Украина,139910763.0,1860622.0,Из Киева,1,"[id134544985|Евгений], крутой номер! Мы все будем болеть за Россию 🤗 Из Киева"
0,25,Киев,Украина,140991551.0,2087179.0,из Украины,2,"Джамала подписала контракт с наибольшим в мире лэйблом Universal

Украинская певица #Джамала подписала контракт с большим мейджор-лейблом Universal Records. Об этом она рассказала в интервью журнала ""ELLE"".

""Наибольший в мире рекорд-лэйбл Universal Music Group через несколько дней выдает мой альбом в Европе, а через месяц - в США. Впервые в истории компании американский офис заинтересовался материалом из Украины"", - рассказала певица."
0,20,Запорожье,Украина,141221562.0,1975709.0,из Украины,1,"[id201347780|Крыса], цц..не, ну прям все и собираются на вашей ЭСТРАДЕ) Главное, что из Украины. 🇺🇦😇
Я никогда не не спорилась, что Украина, самая крутая страна, а все остальные отстой. Везде есть свои недостатки, мы не исключение. Но талантливых людей в Украине море, в том числе и Джамала. А то, что наши таланты собираются на вашей эстраде, ну так и что?) Радуйтесь) Типа Лазерев непревзойденный) такое, на любителя."
0,None,Киев,Украина,141339077.0,1972875.0,из Украины,2,"Ребят, хоть я и из Украины и очень люблю свою страну, но я терпеть не могу Джамалу и не хочу, чтобы она победила! А посему Сергей Лазарев должен обязательно быть выше неё! Призывайте всех-всех-всех своих родственников и друзей, кто живёт не в России, голосовать за Сергея! Он должен победить!"
0,31,Черновцы,Украина,14136386.0,1558719.0,из Австралии,2,"[id180272611|Даша], мне больше по духу песня из Австралии))"
0,None,Николаев,Украина,142145375.0,2251234.0,из России,2,"[id122943424|Людмила], а если 30 млн евро это чуть чуть, то вы наверное не из России..."
0,None,Днепропетровск (Днепр),Украина,143209093.0,2033673.0,из Украины,1,"[id339112558|Саарын], наверное из за политических соображений. Я из Украины и не могу за Лазарева голосовать."
0,None,Днепропетровск (Днепр),Украина,143440327.0,2245622.0,из России,2,"Для тех кто из России и хочет посмотреть, уже 3 год подряд Евровидение в прямом эфире можно смотреть в YouTube на официальном канале в 1080р"
0,None,Донецк,Украина,144147047.0,2037557.0,из украины,1,"смс не проходят,отсылаю даже деньги со счета не снимаются,че за фигня??я из украины голосую 18"
0,None,None,Украина,144208579.0,1502443.0,из Украины,1,"Кто из Украины????
По телевизору идти не будет???((("
0,32,Одесса,Украина,14450793.0,2351583.0,из Болгарии,1,"У Австрии типичный мальчик -певец , как и из Болгарии и Австралии и Израиля и т.д"
0,None,None,Украина,144904545.0,1611171.0,из Эстонии,2,Эсть ли тут кто - то из Эстонии? Пишите в лс !
0,31,Кривой Рог,Украина,14574341.0,1731735.0,из Греции,2,"Песня мне понравилась, но чем то напоминает Сакиса Руваса из Греции"
0,None,Львов,Украина,147642333.0,1591152.0,из Украины,1,Хотя я и из Украины. Но так сильно за Россию я не болела никогда)
0,None,Корсунь-Шевченковский,Украина,147664949.0,2236555.0,из России,2,"[id51959743|Егор], я был в те года в Крыму вывишели Российский флаг военные по улицах кто не из России выганяли или ещё хуже закрывали в каталашке это было тоесть нормально захотела территория я? Куда больше Россия так велика лутше малые города развивала и все в помощь людям делала, я не удевлюся если у вас тоже протесты будут ещё может хуже чем в Украине"
0,116,None,Украина,147702423.0,2199706.0,из России,2,"Уже вангую определенную категорию додиков из России.Если Самойлова не выиграет, а еще хуже не пройдет в финал - будут ныть что не понимающая ""гейропка"" унижает инвалидов"
0,19,Киев,Украина,147943400.0,1561479.0,из Украины,1,"не будем оценивать отношения между Украиной и Россией. Я из Украины, и я болею за представительницу России Полину Гагарину 😊 пусть победит достойнейший!"
0,None,None,Украина,14853458.0,7627667.0,из Москвы,1,"[id146019528|Паша], марионеточное?  А тебе какое надо? Януковича вернуть ? Так вот его все ненавидят-  в Крыму в Донбассе, везде. Все,  поголовно. Зачем тебе лично потребовалось его вернуть? Чтоб украина послушно из Москвы полоумной управлялась? А хотелка не лопнет?"
0,None,Винница,Украина,150573440.0,2140941.0,из России,2,"[id361798977|Мария], из России поедет плацкарт с Еленой Темниковой) Уточняй)"
0,None,Винница,Украина,150947715.0,2186844.0,из Украины,1,"[id105977642|Анастасия], если вы берете себе в пример несколько неадекватных человек из Украины и считаете всех такими - это ваши проблемы. Я живу в городе, который очень близко к столице и поэтому часто там бываю. Ни разу не видела, что бы кто-то имел что-либо против русскоговорящих."
0,None,Киев,Украина,151785797.0,1903211.0,из России,1,"[id22641767|Анна], Нет, не вся. Но говорить о том, что большинство украинцев и белорусов, которые переехали в Европу говорят о том, что они из России, знаете, как-то странно. Да и европейцы не настолько близорукие и твердолобые, чтобы не знать, что такое Украина. Вы заблуждаетесь."
0,None,Донецк,Украина,153107553.0,2258198.0,из Австрии,1,"[id28374877|Валерия], и на Натана из Австрии)))"
0,None,Одесса,Украина,153518729.0,2368194.0,из Италии,1,"[id195287535|Сергей], а нам все равно что вы считаете. Нам важнее мнение более развитых стран. Например Немцы остались довольны. Они отметили что проведение такого конкурса прошло на ура в Украине. Сцена, красная дорожка, еда и цены удивили. А то, что Россия не может порадоваться или хотябы промолчать, это ваши проблемы. И показывает ваш низкий уровень культуры в целом. В отелле в котором я останавливалась были туристы из Италии, Австралии, Польшы.Они остались довольны Киевом и Евровидением."
0,None,Днепропетровск (Днепр),Украина,154287807.0,1558821.0,из Литвы,1,сейчас слушаю дуэт из Литвы - очень понравились!
0,21,Рени,Украина,155017353.0,2253445.0,из Украины,2,"[id418660345|Ержан], Я из Украины, но болел за Украину только в прошлом году, другие песни были не достойны."
0,32,Киев,Украина,155026408.0,379647.0,из России,2,"Летом мы больше всего рады туристам из России: нехватка рабских рук на полях для выпаса кабанчиков - самая актуальная проблема.  
 А вообще не забывайте что ""Нехай щастить"" - это не ""Нехуй шастать"", а пожелание на удачу."
0,None,None,Украина,155064589.0,2314608.0,из Болгарии,1,парень из Болгарии на Алексеева похож)
0,None,Николаевка,Украина,156036203.0,2362439.0,из Москвы,1,"Болгария заслужила больше из-за вашего смазливлго мальчика из Москвы? И все равно, что ни нормального голоса, ни запоминающейся песни у него не было. 
Вы такие смешные"
0,None,Киев,Украина,156791830.0,2085981.0,из России,1,"[id102226900|Денис], А Украина 12 поставила)
Но в комментариях я не вижу сейчас людей из России, которые искренне рады за Украину."
0,None,Киев,Украина,156860044.0,17225017.0,из питера,2,60 тысяч из питера
0,None,None,Украина,157073582.0,1862434.0,из Украины,1,"[id269279860|Julia], согласна.
Я тоже из Украины и мне очень понравилось!!! Молодец, круто👍👏👏"
0,None,Киев,Украина,157841114.0,2368905.0,из Болгарии,2,хорошо что не победил этот недобибер из Болгарии (Москвы) он не достоин ей
0,31,Киев,Украина,157932940.0,1840110.0,Из Венгрии,2,Из Венгрии участник шикарный😊
0,None,None,Украина,158304515.0,1945968.0,из Украины,1,"Джамаралдинова - ты самая ЛУЧШАЯ!!! ДЖАМАРАЛДИНОВА - ТЫ ЧУДО ВО ПЛОТИ! ДЖАМАРАЛДИНОВА - ТЫ ЗВЕЗДА ВСЕХ ОЧЕЙ И НОЧЕЙ! с минимальным количеством спец.эффектов смогла засиять максимально, ярче всех... жалко, что портит картину, то что Евровидение только повод попить пива для всех кто ездит на этот конкурс, а тезис трагедии никак не совмещается с пьянкой и безумием вакханалии фанатов и любителей гулянок.... примечательно, что из конкурсанты из Украины чаще всех остальных поют о трагедиях и тяжелых поломаных судьбах"
0,None,Харьков,Украина,158310475.0,17833892.0,из Англии,2,"о, вы из Англии ?"
0,18,Кривой Рог,Украина,158597586.0,1974672.0,из Украины,2,"[id194220275|Женя], а причём тут это? Она же корнями из Украины, а не из России. Не путай. А то, что она перебралась в Россию, это её личное дело. Меня это меньше всего интересует."
0,None,Первомайск,Украина,158763941.0,1786696.0,из Украины,1,"[id330128103|Абдул], я из Украины -это раз, а во вторых, это я считала, что Вы считаете, что песня только русская, вот я и поправила"
0,None,Киев,Украина,159041118.0,2368622.0,из Болгарии,2,"[id241306380|Даниэла], 
Кристиан из Болгарии 
Люси Джонс из Англии 
Альма (Франция) 
Вот самые лучшие выступления этого года 
У Болгарии и Англии шикарные голосовые песни , такая мощь , такая подача , у Франции не сильная вокально песня но очень атмосферная , настоящий хит !!! Какие переходы от медленных к быстрым моментам , просто супер👍 а это видео Эйфелевой башни на экранах во время выступления ! 👍
И очень обидно , что две из трёх этих песен заняли незаслуженно низкие места . Как такое пение Люси Джонс из Англии могло занять 15(!!!!) место ? Кто из жюри это оценивал ? 
Франция тоже должна была быть выше 
Только Болгария порадовала занятым местом 👍
Результаты очень огорчили, а по организации ( молодцы наши ) и по песням очень хороший конкурс в этом году получился"
0,None,Львов,Украина,159358268.0,1639059.0,из Украины,1,"Ой да, я из Украины но не опущусь до уровня людей, который любят разводить срачи 😂 В этом году на Евровидение у меня язык не повернется назвать выбор России ""говном""... Некоторые это делают ))) Будем ждать, кто же от Украины поедет... Только конкурс политический частично... так что ...)"
0,None,Харьков,Украина,159773503.0,1947411.0,из Украины,1,я из Украины но я за Венгрию
0,22,None,Украина,161901305.0,1727086.0,"из Кореи,",2,"[id65439771|Дмитрий], девушка-то из Кореи, но да ладно, Китай тоже сойдет. Хотя я бы предпочел Корею или Японию)"
0,None,Мариуполь,Украина,162364616.0,7627699.0,из Москвы,2,"[id14853458|Мария], конечно.....из Москвы......лучше стать в очередь марионеточных правительств США(точнее-госдепа)."
0,None,None,Украина,162673830.0,7654241.0,из Ватикана,2,Ох уж эти бизнесмены из Ватикана. Так и пополняют бюджет своего маленького государства.
0,None,Киев,Украина,164845415.0,2535414.0,из Киева,2,"Бля мне сейчас стыдно, что я из Киева."
0,None,Харьков,Украина,165152846.0,1859717.0,из Украины,1,"Я из Украины
Он крут!!!лучшее,что я пока что слышала"
0,None,Киев,Украина,165439438.0,2337913.0,из Украины,1,"Я из Украины, но болею за Беларусь💙💛🇧🇾🇧🇾🇧🇾🇧🇾🇧🇾🇧🇾🇧🇾"
0,31,Ялта,Украина,16549544.0,371248.0,из Украины,1,"У граждан Украины на границе Украина-Крым проблем не бывает не считая ребят призывного возраста, но это на всех границах). Иностранным гражданам из Украины в Крым путь заказан, если нет спец. разрешения. Его дают родственникам живущих Крыму, обладателям недвижимости и тем, у кого родственники в Крыму похоронены. Въезжать и выезжать надо одинаково: или из Украины или как-то еще. Транзит через Крым чреват проблемами. Выезжать в Украину, если в Крым въехали через Керч, НЕЛЬЗЯ.
Рублей можно не более эквивалента 10 тысяч грн (примерно 22 тысячи рублей). Через Новоалексеевку проще, там к каждому поезду по 40 грн до границы подходит автобус (с багажником для вело, так сказать)."
0,None,None,Украина,165738645.0,18142525.0,из москвы,2,"[id230553550|Валерия], ты из москвы? го в приемное отделение первой больницы. Поможешь там. Сегодня как раз пятница.Самое время."
0,26,None,Украина,166047533.0,7610501.0,из России,1,"[id7111749|Вячеслав], потому что это замечательный персонаж из России,усатый мужик,в озорной шапке с помпончиком и ножом)))) он же крут!)))"
0,None,Кировск,Украина,166532735.0,2050303.0,из Австралии,1,ужас из Австралии вещает!
0,19,Одесса,Украина,16720758.0,1733096.0,из Украины,2,"[id151135777|Антон], я больной человек, потому что люблю Россию? Вы, видимо, чеснок переели. Я вообще из Украины, а отношусь к вашей стране куда более уважительнее, чем вы сами."
0,116,Каменское / Днепродзержинск,Украина,167311708.0,18143738.0,из Украины,2,я из Украины. Люблю Украину за все.
0,22,Бровары,Украина,167349769.0,2360981.0,из Украины,1,"[id403488337|猫], я из Украины"
0,23,Донецк,Украина,16794018.0,1563919.0,из Украины,1,"[id67745129|Александр], это я нашла на стене этой группы. Так что я не знаю. Я не из Украины."
0,None,Винница,Украина,168354935.0,2295315.0,из Казахстана,1,"Ребят , кто из Казахстана ? На каком языке была трансляция позавчера у вас ?"
0,None,Харьков,Украина,171213432.0,1962726.0,из Украины,1,"Даже когда тема музыки, все ругаются. Я из Украины, и я лично рада не только за свою страну, но и за Россию, потому что Лазарев достойно спел. Ребята, давайте жить дружно! 😅❤"
0,None,Харьков,Украина,17125761.0,1924818.0,из Украины,1,"Ребята, я обожаю Лазарева и потдерживаю его во всем после того как узнала его лично, но и Джамала оказалась умничкой. Политики пусть сами розбираются

, мы две Страны достойные победы в Евровидение )) 
Никто не должен никому завидовать, так как в том беспредели который творится сейчас в Украине виновата политика, а политика грязная вещь. Давайте не будем на этой грязной политике акцентировать внимание, ведь Джамала пела о далеком прошлом своей бабушки. Я хоть и из Украины но за Лазарева, так как с ним еще со Смэш, а после того как узнала его лично он меня просто покорил своей простотой, но Джамала выступила достойно, не хуже остальных. Поэтому откинте политику и оценивайте вокальные данные и качество исполнения артиста!"
0,None,Горловка,Украина,171751115.0,1601613.0,ИЗ НОРВЕГИИ,1,РЕБЯТА А КТО ИЗ НОРВЕГИИ ДАВАЛ БАЛЛЫ?
0,None,Киев,Украина,172654987.0,1936684.0,из Украины,1,"[id147818998|Анжелика], если он победит, я буду рада, я из Украины, удачи Лазареву и Джамале❤️"
0,14,Киев,Украина,172692038.0,1521349.0,из Украины,2,"[id876156|Дмитрий], Украина в этом году не участвует. Но за Молдавию участвует парень из Украины."
0,24,Донецк,Украина,17328957.0,2354515.0,из россии,2,"[id14440318|Kyrylo], я не из россии я украинец"
0,28,Донецк,Украина,17386683.0,1922431.0,из Украины,1,"[id154118294|Анастасия], ты тупая ?!?!  Я из Украины. Отвали уже!"
0,16,Одесса,Украина,174080433.0,2310944.0,из Эстонии,1,Что. С Эстонией. Не так? Уже второй год подряд сливают годную песню из Эстонии
