,Unnamed: 0,Unnamed: 0.1,from_id,id,text,miss,city,age,country,sex
26,26,445.0,3792015.0,17709353.0,"[id60468515|Александр], из Беларусии",из Беларусии,None,None,Россия,2
27,27,266.0,191545739.0,17999293.0,"А ничего, что Доширак изначально из Кореи?😂😂",из Кореи,Auckland,None,Новая Зеландия,1
28,28,271.0,144968228.0,17999533.0,"[id191545739|Анастасия], а ничего что надо внимательно читать строчку ""на российском рынке"" это значит что она была завезена из другой страны а не из россии,ты походу безграмотная только и умеешь сосать хуи",из россии,Краснодар,None,Россия,2
29,29,190.0,379357235.0,17992591.0,"извините, а что он спустил? я девственник из Казахстана, вашего слэнга не совсем понимаю.",из Казахстана,Воронеж,25,Россия,2
30,30,139.0,413450375.0,17994989.0,"Этот чувак что,из кореи",из кореи,None,None,None,2
31,31,422.0,356988298.0,17989768.0,У него есть верный последователь культа из России.,из России,None,None,Россия,2
32,32,1060.0,224393053.0,18043165.0,"[id96627430|Павел], я не из Москвы хуепутало ты ебливое. Удачи тебе с 30 к в месяц........ Мужик.",из Москвы,Москва,24,Россия,2
33,33,1061.0,96627430.0,18043177.0,"[id224393053|Павел], если ты не из Москвы то обношеный всеми районами сборный сперматозоид всех наций😁кстати ты так на девочку похож, подрабатываешь))?",из Москвы,Boston,26,США,2
34,34,257.0,456098136.0,17978554.0,"[id92458937|Владимир], про ак 47 я ничего не говорю, для меня просто человек который употребляет наркотики - слабый человек, и не важно из России он или из США",из России,Москва,None,Россия,1
35,35,605.0,202773264.0,17968777.0,"[id367898369|Maxim], 1) я не из России 2)какая нахуй разница какой национальности умер, если это был артист, и он кому-то нравился?",из России,None,116,None,2
36,36,908.0,124259779.0,17970475.0,"Если серьёзно, то жаль его :с
Я так посмотрел, он хорошим человеком был, и что важно - уважительно относился к фанатам из России, записал трек даже для них :3 
Покойся с миром, Лил",из России,Симферополь,None,Россия,2
37,37,93.0,341288390.0,17310678.0,"О,Вы из Англии?!",из Англии,Иваново,None,Россия,2
38,38,323.0,50643323.0,17309109.0,"Единственный автобус,  на котором можно уехать из России)",из России,Красноярск,None,Россия,2
39,39,132.0,277441681.0,17302587.0,когда ты не из Америки: DOCTOR,из Америки,Ковров,None,Россия,2
40,40,130.0,51728620.0,17300550.0,"[id277218782|Магомед], и вот про озлобленность на весь народ. у меня прадед из украины. перед войной по ложному доносу его расстреляли с конфискацией иммущество. дед (сын его) не получил нормального образования, т.к. отец репрессированный. в войну был в штрафбатах, на ложном аэродроме, мол, не человек, его отец был врагом народа. после плена остался жив, за что был отправлен после войны в ссылку. и только после смерти сталина он был свободен. по идее он должен ненавидеть россию, но он был патриотом и воспитывал в таком духе своих детей - любить родину. нельзя копить злость на всех людей из-за поступков кучки отдельных личностей",из украины,None,None,Россия,1
41,41,1317.0,61181481.0,17948176.0,"[id446978182|Макс], репер из Америки,сегодня умер от передозировки",из Америки,Псков,None,Россия,2
42,42,476.0,31319585.0,17944311.0,"[id13391202|Пётр], вот поэтому умные люди и валят из России в ""гейропу"", там свобода и равенство, а в России остаемся только мы, со своими скрепами и ""понятиями"".😀",из России,Москва,None,Россия,2
43,43,690.0,453574937.0,17949284.0,"[id410291291|Виталик], Звучит скорее как угроза чем понты ) ты можешь себе на фантазировать любой мир, и придумать что кушать кал, это почетно, но свое подсознание ты не обманишь, с чего вдруг у тебя низкая само оценка такая ? ) или ты хочешь сказать, что успешный бизнесмен из москвы у которого жена как с обложки плей боя, страдает от низкой само оценки, и лезет в интернет на мдк повысить свою само оценку, агря народ ?) не льсти себе малыш. Иди мультики посмотри лучше.",из москвы,None,None,None,2
44,44,408.0,444994754.0,17951132.0,"Вопрос не в тему.
Вот скажите мне кто-нибудь кто то знает иностранный язык полностью со школьной программы?
Я например учила 2 языка с 5 класса французский и немецкий и не знаю ни одного из них. Так же не знаю ни одного человека со школы кто бы знал ин.языки со школьной программы.
Бля с чем это связано? Так специально учат, чтобы мы из России не поуезжали что ли?",из России,None,None,Россия,1
45,45,120.0,29194432.0,17942718.0,"Даже снегири улетели из России, а ты нет.",из России,None,None,Россия,2
46,46,411.0,277927512.0,17939702.0,"[id381744469|Алексей], а то что он был из Италии, это так , по фану",из Италии,Москва,None,Россия,2
47,47,163.0,173783600.0,17931244.0,"[id403791034|Jack], о а я из Севастополя класс да",из Севастополя,None,None,None,2
48,48,172.0,141828928.0,17933804.0,"Ахх... Ок. Я просто в России не когда не жила и не была, в два месяца возраст, увезли из России. Пару книг Пушкина читала. Но в моей стране у нас это в школе не учили. По этому не поняла в чём прикол",из России,München,30,Германия,1
49,49,74.0,40608781.0,17928459.0,"Он выбирался даже с необитаемого острова, но из России ему не выбраться",из России,Liverpool,23,Великобритания,2
50,50,93.0,152741114.0,17928639.0,"""Из России в Украину скачем скачем на дельфине, кто не скачет тот - москаль, за границу нас пускаааай""",Из России,Люберцы,15,Россия,2
51,51,177.0,20028644.0,17934922.0,"В котором можно вкусно покушать и развлечься. Но я заметил что ты из Минска ахах, так что рандеву не состоится)",из Минска,Лесколово,None,Россия,2
52,52,22.0,4545172.0,17200125.0,34% всего тут из Питера?(((,из Питера,Санкт-Петербург,21,Россия,2
53,53,470.0,354828864.0,17202109.0,Эти 31% из Питера.,из Питера,None,None,None,1
54,54,549.0,213052778.0,17202610.0,Это опрос на то сколько в МДК людей сидят из Питера?,из Питера,Омск,19,Россия,2
55,55,679.0,13551832.0,17203765.0,"Блюдо происходит из Турции, откуда и получило свое исходное название: çevirme — переворачивание, первоначально означало мясо на вертеле. 
Сведения расположены в алфавитном порядке согласно первому географическому названию в абзаце. 
В Азербайджане шаурмой называют блюдо с белым кисло-сладким соусом и в лаваше, в то время как традиционная шаурма называется дёне́р-кеба́б или просто «дёне́р» (азерб. dönər) . 
В Алжире шаурма называется дене́р. 
В Армении это блюдо называется карси-хоровац (шашлык по-карски) . Шашлык по-карски представляет из себя большой кусок мяса на вертеле, с которого постепенно срезают кусочки по мере приготовления и заворачивают их в псацах (тонкий пресный листовой армянский ""лаваш"").
В Бельгии используется название пита-дюрум (фр. pita durum), или просто durum (от турецкого dürüm — завёрнутый) , если начинка завёрнута в тонкий лаваш, или просто пита (фр. pita), если начинка кладётся в половинку питы. 
В Болгарии используется название дюнер. 
В Великобритании называют сокращенно «кебаб» от турецкого — Döner kebab. 
В Германии используется название дёнер-кеба́б (нем. Dönerkebab), или просто Döner. Также используется название дю́рум (от турецкого dürüm — завёрнутый) , если начинка завёрнута в тонкий лаваш. 
В Греции и на Крите мясо, приготовленное на вертикальном вертеле, называется гирос, а начинённая этим мясом пита — гирос пита. 
На Дальнем Востоке (Хабаровск и т. д.) , принято название — шаурма или дёнер. 
В Израиле для того же блюда используется название шава́рма [1], но из-за отсутствия огласовок в обычном написании на иврите (שווארמה) широко распространено прочтение «шва́рма» ; арабы, живущие в Израиле, произносят его как шуа́рма (без ярко выраженного ударения) . Подается в лепешке-пите, или в тонком лаваше — лафе. Коренные иерусалимцы называют лафу «аштанур» . Любимые приправы — тахинный соус с укропом, «амба» , иногда кетчуп. В израильской шаурме полностью отсутствуют молочные составляющие в любом виде из соображений кашрута 
В Иране блюдо называют «турецким кебабом» (перс. کباب ترکی). 
В Казахстане продаётся и шаурма и различные донеры (донер-кебаб, донер-дурум) . 
Ливанское название для шаурмы — кубба́. 
В Москве употребляется слово шаурма́, в Санкт-Петербурге — шаве́рма (см. Различия в речи москвичей и петербуржцев) . В находящейся же между Санкт-Петербургом и Москвой Твери используется слово шава́рма. 
В Польше используется название ке́баб (от нем. Dönerkebab) с поправкой на польское ударение (всегда на предпоследний слог) . 
В Румынии употребляется название шаорма или шоорма. 
В Узбекистане употребляется название турк-кабоб или донар, редко шаурма. 
На Урале (Екатеринбург, Пермь) приняты оба названия — шаурма для блюда, где начинка заворачивается в псацах, а шаверма — когда берется половинка питы и наполняется начинкой. 
Во Франции это блюдо называется кебаб (le kebab).",из Турции,Вологда,None,Россия,2
56,56,887.0,423106725.0,17207997.0,"это смотря откуда ты, из Питера или Москвы...",из Питера,Севастополь,None,Россия,2
57,57,998.0,155074474.0,17212301.0,"Те кто проголосовал ""шаурма"" - не из Питера, инфа сотка",из Питера,Санкт-Петербург,23,Россия,1
58,58,1102.0,156860044.0,17225017.0,60 тысяч из питера,из питера,Киев,None,Украина,2
59,59,423.0,15819315.0,17195490.0,В чем прикол? Я просто из Казахстана,из Казахстана,Алматы,None,Казахстан,2
60,60,106.0,152371783.0,17192132.0,Я из Казани. Но про это ничего не слышала,из Казани,None,20,Россия,1
61,61,126.0,389313917.0,17192187.0,"Чёт какая то хуета ребята 
Я сам из Казани ,у нас снег не лежит ни где 
Суд перенесли на 4 апреля ,до апреля как до китая раком ,суды переносят только на 2 месяца максимум ,так как содержание в СИЗО больше этого срока без доп суда,быть не может",из Казани,Казань,None,Россия,2
62,62,218.0,368532354.0,17192751.0,"[id119342426|Semen], что, прости? Давай ты побываешь во всех странах и разберешься во всех судах, тогда и будешь говорить? Лично я из Чехии, и попадал в ситуацию не только с изнасилованием, но и избиением. Максимум, что произошло — направили к психологу, лол. У известного мне человека нашли опухоль в мозгу, поэтому ему ничего не сделали, а остальных и искать не стали. Это нормально? Это не Россия, ку-ку.",из Чехии,České Budějovice,None,Чехия,2
63,63,351.0,248368179.0,17193908.0,Я из Казани,из Казани,Казань,17,Россия,2
64,64,490.0,16405558.0,17195735.0,"[id125680792|Сулейман], да поебать я не из Казани)))",из Казани,Пенза,23,Россия,2
65,65,632.0,154162122.0,17204054.0,"Бля , недавно из Казани вернулся",из Казани,Волгоград,None,Россия,2
66,66,673.0,218847706.0,17247901.0,"[id214630488|Эдик], обвиняемый и истец оба из Казани, татары.
Мде... такие выводы по одной фразе. Я вообще в другой части света живу

Правда, что только люди с низким интеллектом становятся расистами. Плохо быть тобой",из Казани,Тула,116,Россия,1
67,67,279.0,161113583.0,17234654.0,"[id447529348|Артем], О, Вы из Англии",из Англии,Санкт-Петербург,None,Россия,2
68,68,206.0,240404631.0,17188433.0,"[id137274846|Марк], Я тоже ненавижу эти хрущёвки, но что бы нормально что то возвести, нужно столько труда и ресурсов, этим бы занялся наш президент, если бы ему не мешался другой из Москвы с которым наш не всегда согласен.",из Москвы,Набережные Челны,24,Россия,2
69,69,19.0,293209070.0,17187288.0,"[id311405696|Роман], привет из Казахстана",из Казахстана,None,None,None,2
70,70,689.0,155408690.0,17188238.0,да все полюбас за окси проголосуют т.к. он из России.,из России,Воронеж,21,Россия,2
71,71,820.0,252376230.0,17196348.0,"Оксимирон хуета, я из России поэтому я за дизастера",из России,Шарья,None,Россия,2
72,72,164.0,155137551.0,18270774.0,"Ищу свободную девушку из Москвы от 20 лет и старше,ни чего обещать не собираюсь, просто отмечать нг одному скучно....",из Москвы,None,27,None,2
73,73,289.0,408725273.0,18258088.0,"Борис, ну значит говорю же и нормальной бабе тогда тоже скалку в одну руку, а сковородку в другую!А что провинился мужик, получи.. Тогда ни одна семья, ни одна существовать не будет!Не хер руки распускать, не поймал не доказал, а если она живет в уругвае, поставили лайв из России все она значит и тут тупила и изменяла, мужчины, Аууууууу опомнилась, руки чешутся, чеши их в спорт зале!",из России,None,None,Россия,1
74,74,119.0,281407021.0,18255932.0,Это экстрималы из Франции это правдивая гифка и кстати их там двое было,из Франции,Уфа,None,Россия,2
75,75,58.0,214657991.0,17683959.0,Я из перми,из перми,Пермь,None,Россия,2
76,76,113.0,439713216.0,17684137.0,То чувство когда ты из Перми🙄,из Перми,None,None,None,2
77,77,921.0,217462287.0,17689807.0,Я из Перми,из Перми,Мухоедово,None,Россия,2
78,78,1140.0,46199897.0,17698245.0,"[id303522988|Семён], наверное ты ехал из Питера, а она ела твой хуй как бургер??",из Питера,Москва,None,Россия,2
79,79,1247.0,55366047.0,17702535.0,Кто из Перми,из Перми,None,None,None,2
80,80,1329.0,7676673.0,17710930.0,"[id455342926|Кай], моя мама мной гордится, потому что я без чьей либо помощи добиваюсь всего сам, купил машину, снимаю квартиру и плачу за все сам, у меня высшее образование, я отслужил в армии. А ты японец 🤣 сочиняй дальше свои реп стихи недоразвитые 🙈 и делай селфи в зеркале... И на будущее запомни, попробовать задеть человека упомянув его маму это последнее дело ! Это в первую очередь не уважение к своей маме!!! Следовательно ты ничтожен, слишком глуп и ущемлен своими комплексами, такие люди всегда пытаются на публику рассказать , что они из Японии или Нью-Йорка🙈 успехов в развитии тебе и здоровья твоим родителям.",из Японии,Москва,None,Россия,2
81,81,1332.0,7676673.0,17711028.0,"[id455342926|Кай], я не пытался удивить, а лишь привел факты подтверждающие мою самостоятельность!И разница между нами в том, что я не кричу всем откуда я и что у меня дорогие вещи! Об этом не стоит говорить громко, те кому надо сами поймут сколько стоит одежда и машина, в жизни есть более важные вещи, и ещё раз давай вспомним, что это ты проявил желание написать мне !!! А после этого на публику сообщил, что тебе дорого из Японии ехать ..."" Семь раз отмерь, один раз отрежь""🙂",из Японии,Москва,None,Россия,2
82,82,885.0,127288660.0,17677392.0,Из России с любовью,Из России,Марфино,None,Россия,2
83,83,2671.0,272785176.0,17679922.0,Оралман из питера🤣,из питера,None,None,None,2
84,84,4333.0,220547838.0,17682913.0,"Выжить после, если что я из Украины",из Украины,Kiniquiarí,None,Колумбия,2
85,85,96.0,344231732.0,17660251.0,"[id177117264|Миша], а причём здесь Путин если она вообще не из России?",из России,Омск,None,Россия,2
86,86,13.0,442432115.0,17732217.0,я один из России написал бы деду морозу? :/,из России,None,None,None,2
87,87,178.0,109376154.0,17733940.0,"Ну блин... Тогда уебывайте из России, раз тут все плохо",из России,Новосибирск,None,Россия,2
88,88,1069.0,456253024.0,17866998.0,"Познакомлюсь с парнем из Москвы / МО желательно, для совместного хорошего
времяпровождения. Не малолетка, квартира своя есть. Только реал, никаких
виртов",из Москвы,None,None,None,1
89,89,1173.0,146292688.0,17936556.0,Есть кто из москвы побухать,из москвы,Великий Новгород,None,Россия,2
90,90,74.0,122578439.0,17726660.0,Она просто из Армении,из Армении,Санкт-Петербург,None,Россия,2
91,91,489.0,19592415.0,17730242.0,Из Грузии она,Из Грузии,Самара,None,Россия,2
92,92,43.0,151886519.0,17725642.0,флэшбеки из вьетнама,из вьетнама,None,None,Россия,2
93,93,757.0,363068409.0,18068048.0,"Чурки ебаные в край охуели!! Сжечь нахуй всех до одного, а прах вывезти из России",из России,Москва,25,Россия,2
94,94,1542.0,324562466.0,18070719.0,"РУССКИЙ НАРОД КТО ЖИВЕТ В ПРИМОРЬЕ, В НЕПОСРЕДСТВЕННОЙ БЛИЗОСТИ ОТ ОБЪЕКТА ГДЕ ВСЕ ПРОИЗОШЛО?! ДЕВУШКА ТЫ ИЛИ ПАРЕНЬ, ЕСЛИ ТЫ ПОРЯДОЧНЫЙ (-АЯ) ДАВАЙ СОСТАВИМ ПЕТИЦИЮ В АДМИНИСТРАЦИЮ ГДЕ ВСЕ ПРОИЗОШЛО, ЭТИ ПАДАЛИ ДОЛЖНЫ ПОНЕСТИ НАКАЗАНИЕ ИХ НУЖНО ЭММИГРИРОВАТЬ  С НАШЕЙ СТРАНЫ! ИЛИ ДАТЬ СРОК ЗА ЖЕСТОКОЕ ОБРАЩЕНИЕ К ЖИВОТНЫМ! ЕСЛИ ЗАКОН НЕ ПОМОЖЕТ Я ПРИЗЫВАЮ ТЕХ КТО НЕ ХОЧЕТ ОСТАТЬСЯ В СТОРОНЕ И НАКАЗАТЬ САМИМ, ГОТОВ ОПЛАТИТЬ РАССХОДЫ НА ДОРОГУ ИЗ МОСКВЫ ИЛИ БЛИЖАЙШИХ ГОРОДОВ ПОДМОСКОВЬЯ!!! ПОЖАЛУЙСТА НЕ ОСТАВАЙТЕСЬ РАВНОДУШНЫМИ!!! Я НЕ РАСИСТ И У МЕНЯ МНОГО ЗНАКОМЫХ СРЕДИ ЛИЦ НЕ РУССКОЙ ВНЕШНОСТИ, НО МНОГИЕ ИЗ НИХ ПРОСТО ТВАРИ КОНЧЕННЫЕ ОНИ ПОПУТАЛИ ВСЕ РАМКИ И СЛИШКОМ ВАЛЬЯЖНО ЧУВСТВУЕТ В РОССИИ!!! ЭТО НУЖНО ПРЕКРАТИТЬ!!!ОТЗОВИТЕСЬ ЖИТЕЛИ ПРИМОРЬЯ!!! ЕСЛИ НЕ МЫ ТО КТО!?!?!?",ИЗ МОСКВЫ,Москва,28,Россия,2
95,95,1590.0,173933405.0,18071009.0,Обезьянам надо запретить выходить в цивилизацию ! Пусть сидят в своих норках и ебут своих однобровых волосатых жен. ХаЧи Идите Нахуй из России Пидрилы !,из России,Tijuana,22,Мексика,2
96,96,326.0,362096885.0,18070012.0,ну как я ведь из России родом,из России,Los Angeles,None,США,2
97,97,312.0,154061086.0,18061809.0,"[id137629207|Кристина], засинтоленный фрик из России, сделал себе фальшивые бицепса синтолом (типо ботекса у женщин).",из России,Жлобин,None,Беларусь,2
98,98,21.0,373713028.0,18048740.0,Кто их млять звал в СССР? Невинно убиённых... Прям выкрали из Германии и невинно убили)),из Германии,Москва,27,Россия,2
99,99,490.0,234370015.0,18050080.0,те кто пишут хуйню вы думать умеете? Он говорит о том что некоторые солдаты из германии тоже не хотели воевать как и советы не хотели воевать.Простите если грубо,из германии,Рудный,15,Казахстан,2
100,100,501.0,360869803.0,18050116.0,"[id42512973|Алексей], если я не из Украины, так каким боком это сообщение касается меня?",из Украины,None,None,None,2
101,101,515.0,360869803.0,18050167.0,"[id42512973|Алексей], ты хоть сам себя понял? Ты мне ответил с тем учётом, будто бы я из Украины. Иначе твоё сообщение лишено смысла",из Украины,None,None,None,2
102,102,548.0,7754243.0,18050263.0,"[id74182011|Владимир], Хули он не взял историю какого нибудь деда из России! Бедные блять немцы мы их содержали и после войны если ты почитаешь данные отправляли помощь почти до 85 года восстанавливали их страну наши люди.",из России,Киров,27,Россия,2
103,103,592.0,94144351.0,18050397.0,"После такой огласки ему остается только из России валить, жизнь у пацана сломана",из России,None,None,None,2
104,104,1315.0,272366809.0,18061444.0,"[id453990850|Евгений], почитать, как ни странно, можно даже вику, там годная очень статья про насилие советских солдат на территории Германии, по-моему все стороны вопроса рассмотрены достаточно объективно. А на парня наехали скорее за время и место. Напиши такое у себя в ВК, или сними видео для Ютуба, то воплей было бы намного меньше. А когда человек за границей, он должен понимать, что своим поведением он олицетворяет всю свою страну! А если учесть, что на Западе весьма зацензурированные СМИ и там уже который год вещают о страшных русских и их темнейшем повелителе угрожающем всему миру, и другого мнения просто нет. Имел возможность общаться с немцами, они своими СМИ верят больше, чем очевидцам событий. У меня знакомая так ездила в Германию, так ей доказывали, мол она дура и ничего не знает о том, что в её стране происходит, дескать немецкие СМИ не могут жеж врать! 
А тут на тебе! Приезжает парень из России и говорить вроде и миролюбивые вещи, но по-сути создаёт оправдательную базу. Сначала немцы не такие плохие, потом русские не такие хорошие, потом Сталин напал на Германию, а она защищалась, потом русские платите Германии репарации за ВМВ, а если не хотите, то мы вас снова пойдём ""освобождать"". Кажется безумием? А ведь большая часть из этой последовательности уже реальность, хотя была немыслима ещё лет 20-30 назад. Вот и бьют парня за такую подляну. Думать надо лучше, когда вещаешь с такой трибуны от лица всей своей страны. Добрыми намерениями вполне можно вымостить дорогу в Ад. А серьёзно говорить говорить о миролюбии в наш век, увы, не очень уместно и воспринимается скорее как слабость, чем искренность.",из России,Днепропетровск (Днепр),26,Украина,2
105,105,1631.0,1429751.0,18086563.0,"Максим, убивать никого не надо, их перевоспитывать надо. Они просто не получили той информации, тех примеров что были у нас. К ним не приходили ветераны и не рассказывали об ужасах войны. А историю преподавали пидорковатые хипстеры, которые мечтают свалить из ""сраной рашки"". И книги издаются не понятно какие, это системная ошибка, но и им стоит включать мозги. Я и не думал, что у нас так много профашиков. Один продвинутый мальчик из Москвы выше пишет, что ему стыдно жить среди такого быдла, как мы, что мы не поняли мальчика и еврогейские ценности. Страшно.",из Москвы,Москва,None,Россия,2
106,106,1695.0,307814679.0,18112963.0,"[id69974554|Владислав], Мне на свастику всё равно, я знаю, что раньше она означала силу, защиту... а у вас там национализмом попахивает... (я не из России)",из России,Rīga,21,Латвия,2
107,107,44.0,153170078.0,18045506.0,А ничё что Шварценеггер из Австрии?,из Австрии,Северск,16,Россия,2
108,108,133.0,136858077.0,18046047.0,"[id199508970|Тихон], родом он не из америки 🤦‍♂️",из америки,Минск,None,Беларусь,2
109,109,135.0,199508970.0,18046057.0,"[id136858077|Даниил], а кто сказал что он родом из Америки?😆",из Америки,None,None,Россия,2
110,110,497.0,97987402.0,17527745.0,"[id254441140|Максим], ты жил в америке и знаешь как там? нет, я не доволен, тем что все деньги у одного процента людей. Но в этом и сами люди виноваты. Власть такая, какую заслуживают. Веди все поголовно воруют у себя на работе. Почему бы и депутатам не воровать? Все стараются обмануть друг друга, что то ""намутить"", украсть, придумать какую то ""схему"" и т.д. И плюс я не из России, если что. У нас вообще война идет, грубо говоря, мое бывшее государство послало на меня войска",из России,Макеевка,None,Украина,2
111,111,1887.0,109290541.0,17521770.0,"Ты еблан 
Тут спору нет 
Ты проститукам 
Из Таиланда
Хуй сосешь за 100 рублей",Из Таиланда,Севастополь,None,Россия,2
112,112,37.0,192683265.0,17508525.0,Что такое деньги? Я просто из россии,из россии,None,None,Россия,2
113,113,165.0,-13805915.0,17498560.0,"а кто это такой? почему старый педик из америки, так интересует?",из америки,None,None,Россия,2
114,114,146.0,102373087.0,18117456.0,А лучше бы путешествовала нахрен из России,из России,Иркутск,None,Россия,1
115,115,294.0,158057573.0,18114952.0,А ты в нем из Украины,из Украины,Tilburg,116,Нидерланды,2
116,116,146.0,427122454.0,18110712.0,"[id359688326|Atikin], Во первых на твой как ты говоришь ценный кадр найдется ещё десетера, поэтому держать тебя не будут во 2 Не ты не я в Америке не был, но я общаюсь с человеком который туда себал из России, и не нужно говорить что он какой то далбаёб в 3 В Путине видят какого то идеала своего рода идола. Но может ли идол простить долг в 7 миллиардов когда в собственной стране твориться чорти что, может ли идол проебать 7 миллионов на то что-бы разогнать облака что-бы провести парад в честь победы, не лучше было бы дать ветеранам дом достойную пеньсью, вить они этого заслужили.",из России,None,19,None,2
117,117,676.0,158107046.0,18119683.0,"Надо ехать наверное из России жить в другую страну, где за ""рисунок какашки"" не посадят на 5 лет, а посмеются. Здесь напридумывают чего-то эл. дневник взломал ппц ахахах жесть",из России,Ивантеевка,None,Россия,2
